TSNE1,TSNE2,label
-18.669207,7.440651,1
-16.394161,10.992076,1
-18.350815,7.2857695,1
-0.13604341,-9.629574,2
10.522905,18.179432,3
-16.700865,11.863529,1
-1.3602738,-15.7311325,2
11.665886,9.77754,3
-16.024246,11.201838,1
-1.2315646,-14.9308405,2
-21.039024,3.3139477,1
-22.235802,-5.348018,1
23.774096,-12.213934,0
-22.223463,-9.853474,1
6.335589,17.149883,3
-1.0157858,-14.658638,2
-22.58612,-11.626453,1
0.7268206,-7.159527,2
22.377926,-8.738979,0
-22.87949,-8.663067,0
23.74432,-13.646235,0
-21.969929,-0.4500185,1
17.66955,-7.108728,0
-22.613298,-11.169401,1
-15.999852,10.869485,1
-20.018686,3.8816767,1
-20.037363,4.314547,1
2.720386,-7.820884,2
-18.864765,6.117152,1
-21.138033,7.0948195,1
12.237163,3.6644194,3
-1.2583379,-15.536233,2
21.295618,-10.257602,0
-0.27597713,-9.860743,2
-0.050582442,-7.1677766,2
19.964558,-10.054972,0
-0.08291789,-12.031832,2
-20.596382,2.9553547,1
-21.148575,7.02267,1
9.500478,19.044495,3
-20.52772,2.0935607,1
19.779411,-8.782528,0
23.674553,-13.715314,2
-21.339022,1.9927726,1
-22.117737,-10.537145,1
-1.6820782,-17.06198,2
-0.99265504,-14.721739,2
-18.826174,7.481889,1
-15.57306,11.739395,1
12.145995,15.688906,3
-18.224566,11.3927965,1
-19.85075,4.166811,1
23.945955,-12.45524,0
-0.47537902,-8.959275,2
-3.4413877,-16.686428,2
9.624499,18.514359,3
8.149568,18.38109,3
-19.807684,4.2547517,1
23.821596,-11.925664,0
23.017824,-10.154583,0
-22.707077,-7.6524644,1
-21.139462,1.3946579,1
-2.0797985,-16.919733,2
9.096816,8.110973,3
-0.6436355,-7.802627,2
-22.631456,-6.084799,1
21.223896,-10.723561,0
12.235215,6.0848875,3
18.001686,-8.550253,0
12.672686,4.0530624,3
-1.3842194,-15.530267,2
23.849977,-12.039009,0
11.7604885,9.411186,3
6.89884,17.79646,3
19.956299,-9.355875,0
-20.088364,3.2959871,1
1.0071849,-7.056543,2
21.858198,-11.993273,0
19.090979,-8.39369,0
17.597733,-7.251708,0
-1.6601298,-17.872618,2
20.674147,-9.770195,0
2.8624153,-7.128661,2
-1.552122,-17.02097,2
-1.6182399,-17.473574,2
-0.15250635,-8.969395,2
-21.13837,7.266187,1
19.48657,-10.376724,0
12.073081,4.8115735,3
11.53764,8.936656,3
9.92441,18.242556,3
-22.029043,-11.335306,1
5.973639,15.55521,3
6.705662,17.599503,3
-21.678385,-1.2201165,1
-22.69823,-7.493259,1
-16.822342,12.338328,1
-16.409737,12.502604,1
-18.330421,6.744025,1
-1.3871151,-8.445129,2
-20.573994,2.1410222,1
18.048737,-7.423239,0
9.79634,7.4162655,3
-1.1432587,-8.466234,2
22.00229,-11.614522,0
2.8351862,-7.180713,2
6.264678,17.0539,3
1.0276896,-7.5892224,2
19.140402,-8.546093,0
-16.934944,9.913478,1
-2.2383435,-17.46058,2
12.7766,1.456798,2
-22.428,-11.76508,0
6.236748,16.966036,3
1.4540876,-5.062138,0
17.266247,-10.755212,2
-16.832619,12.242703,1
-0.54051644,-8.9407,2
-19.878662,4.6997914,1
-21.969786,-1.9895428,1
12.262276,8.899972,3
5.946446,15.455302,3
0.6082167,-7.645799,2
-15.701308,12.733665,1
12.71303,3.678018,3
11.352466,15.622463,3
-21.830353,-10.965968,1
-15.1404295,12.96964,1
8.944798,8.085003,3
20.196749,-9.992314,0
-1.1270512,-14.850825,2
1.2434585,-7.223659,2
-21.198566,1.5137537,1
-20.986794,2.8573816,1
2.7655857,-7.093659,2
11.606176,9.337466,1
0.258738,-9.48953,2
-19.828148,4.843332,1
20.741154,-11.061421,0
23.514696,-13.387774,0
-21.937038,-10.349325,1
21.503553,-11.763868,0
-1.6226006,-17.051373,2
11.863058,12.8255,3
12.153119,6.6172714,3
-0.35190836,-8.479317,2
-22.120646,-9.863078,1
-1.2958833,-15.1537285,2
-22.610205,-8.673636,1
6.8823333,17.773537,3
8.819987,7.774666,3
9.924379,18.264269,3
12.1226845,5.0501122,3
-22.608004,-8.747482,1
6.213924,16.954704,3
11.80534,13.788937,3
12.312623,5.764228,3
-17.30059,9.33464,1
-21.967453,-1.0585828,1
-0.14516544,-10.169882,2
5.9577675,15.547472,3
9.500478,19.044495,3
12.034609,4.516857,3
-19.100512,5.6442738,1
11.365792,15.637888,3
-15.435375,11.921311,1
-3.2840629,-16.772804,2
-20.12217,3.3174322,1
8.790493,8.451397,3
-2.9002612,-16.916262,2
19.379253,-9.768177,0
11.598549,8.954715,3
-22.291204,-9.487364,1
10.322401,18.222885,3
23.972815,-13.195622,0
-23.064138,-6.721424,1
-2.2399511,-17.288822,2
12.03197,13.692307,3
-0.9384951,-8.157512,2
1.5963509,-4.6379924,0
11.261528,16.22253,3
12.00554,13.375718,3
8.9748955,8.512768,3
21.3865,-11.482118,0
7.6644897,18.50553,3
7.727917,18.550837,3
17.977808,-7.4177494,0
1.7204355,-7.2326517,2
-20.367414,2.854808,1
-15.956439,12.653232,1
-18.89712,7.301019,1
