TSNE1,TSNE2,label
21.140442,-11.796941,1
-16.283491,-4.619294,1
-11.882885,-9.276941,4
20.540195,-12.761417,0
-21.256166,8.779462,1
1.6097659,5.6076913,4
15.773315,-16.161863,0
18.578028,1.9580084,4
-7.6972394,25.900738,4
-16.254194,16.170666,4
8.786492,18.819845,3
-19.999704,13.8036175,1
-4.37998,-18.76706,2
-18.777016,17.908594,4
-22.52811,6.806996,1
-5.1054783,-13.754907,4
-12.390678,-8.897737,4
-21.658684,3.4471695,1
-18.879711,15.920838,1
17.984539,-13.32633,0
19.63066,-14.868732,0
-7.926597,-18.840187,2
-12.67627,-9.165909,4
20.979303,-6.93786,0
0.7253776,-24.49847,2
-18.631657,-2.190968,1
14.454162,-17.117615,2
-7.6972394,25.900738,2
-8.414499,-18.927216,2
19.228334,12.235979,3
22.690277,-10.110083,0
-19.603355,-1.7818588,1
22.132696,-14.1369705,0
5.06548,-22.002022,4
-20.884642,12.118596,1
-7.6972394,25.900738,4
-17.296217,-4.4463315,1
21.200626,-11.674624,1
-22.206608,6.144748,1
4.2179656,3.4124675,4
-12.2821045,-9.2579,4
-16.64889,-4.3068633,1
14.6214905,0.9211389,3
13.183665,-14.323868,4
-10.084463,-2.9592123,4
9.147159,0.24344493,3
1.0667568,-28.302053,2
8.28832,18.781548,3
22.243273,-12.321699,1
-19.840899,-0.91851836,1
-16.364285,-4.3168616,1
-22.128214,12.559697,1
11.502942,17.686602,3
17.387106,14.74172,3
5.8495,-24.14469,2
9.394708,19.059708,3
21.066553,-10.811649,4
-22.14714,6.431391,1
13.159451,2.937765,4
-7.8323064,-17.002508,2
0.68233865,8.4266405,4
0.96428007,-25.993662,2
0.3698699,-11.137835,4
-21.743635,4.6484814,1
-4.6382904,-18.64746,2
-20.135426,-0.6781614,4
10.872807,18.331509,3
-23.112467,10.760213,1
-20.628757,13.21795,1
-7.6972394,25.900738,4
2.4584472,3.3453789,4
20.53764,-13.456105,0
17.35139,-14.550157,0
-16.575302,-2.6840239,1
-7.6972394,25.900738,4
14.261635,-17.25312,2
11.464161,17.890793,3
-8.259886,-17.17293,2
17.446022,3.471564,4
22.136883,-12.493596,0
2.399894,11.716357,3
19.679653,-14.850369,0
-12.30072,-7.96581,4
0.79480994,11.89454,4
-14.9164095,-5.656791,1
-4.564121,-18.620375,2
6.1890597,-24.01162,1
17.986425,12.697575,3
-1.2833042,-10.350574,4
13.992189,2.7553337,4
-22.161505,3.4153504,1
2.29585,11.6233425,3
1.9610306,10.883923,3
21.60418,-12.578049,0
21.091026,-7.052232,0
-14.215393,12.319576,4
0.66258675,10.1802635,4
-21.469528,9.587407,1
-8.015132,-19.25671,2
17.452646,13.75855,3
-22.076807,2.459031,1
20.053333,-14.040166,0
11.6568365,18.42585,3
-15.970648,16.046396,1
1.2145935,-24.142178,2
4.884904,16.333107,3
0.00803447,-28.229923,2
4.804221,19.038439,3
17.541998,3.079744,4
-3.3074265,-12.5983305,4
-19.581657,-1.5901062,1
-21.193533,11.988191,1
2.3300333,11.632432,3
-18.323921,17.558638,4
1.070889,-28.327486,2
21.627455,-12.435639,0
11.021849,16.509535,4
4.9803557,-22.057306,4
-19.953976,14.661323,1
-8.243366,-17.147291,2
9.346212,0.41233376,3
-23.2773,10.117963,1
-16.551426,15.467424,1
8.799709,0.87612504,3
-10.446861,-3.887632,4
7.5770345,0.97377115,4
3.4330068,3.6491144,4
-12.4661045,-9.597364,4
17.054987,1.8154033,3
8.478745,0.19734964,4
-16.337511,-6.2124467,0
2.34817,4.607695,4
0.40425903,2.4153109,4
-19.569773,14.735398,1
17.898226,12.981448,3
21.690275,-13.222138,0
8.952572,0.46884915,3
-18.953495,15.309701,1
1.7224274,-24.52083,2
-10.85482,-10.235366,4
