Wavelength,Wavenumber,PLA50ppm-1,PLA50ppm-2,PLA50ppm-3,PLA100ppm-1,PLA100ppm-2,PLA100ppm-3,PLA200ppm-1,PLA200ppm-2,PLA200ppm-3,PLA300ppm-1,PLA300ppm-2,PLA300ppm-3,PLA400ppm-1,PLA400ppm-2,PLA400ppm-3,PLA500ppm-1,PLA500ppm-2,PLA500ppm-3,PLA600ppm-1,PLA600ppm-2,PLA600ppm-3
817.17,500.83,4.49,0.57,8.87,0,3.79,10.51,16.16,0,0,15.41,26.24,17.36,14.51,5.66,20.19,0,0,0,0,0,0
817.31,502.93,4.49,0.57,8.87,0,3.79,10.51,16.16,0,0,15.41,26.24,17.36,14.51,5.66,20.19,0,0,0,0,0,0
817.46,505.04,4.49,0.29,8.87,0,3.79,10.51,8.4,0,0,15.41,26.24,14.49,14.51,5.66,20.19,0,0,0,0,0,0
817.6,507.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817.74,509.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817.88,511.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818.02,513.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74,0,0,0,0,0,0
818.16,515.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74,0,0,0,0,0,0
818.3,517.66,5.36,0,0,0,0,10.63,0,0,2.86,0,0,0,0,0,2.74,0,0,0,0,0,0
818.44,519.77,5.36,0,0,0,0,10.63,0,0,2.86,0,5.39,0,0,0,0,0,0,0,0,0,0
818.58,521.86,6.35,0,0,0,0,10.63,0,0,2.86,0,5.39,0,0,0,0,0,0,0,0,0,0
818.72,523.96,1,0,0,0,0,0,5.21,0,0,0,5.39,0,0,0,0,0,0,0,0,0,0
818.86,526.06,1,0,0,0,0,0,5.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819,528.16,0,0,0,0,0,0,5.21,3.41,0,0,0,0,0,0,1.14,0,0,0,0,0,0
819.14,530.25,0,0,0,0,0,1.47,6.67,3.41,0,0,0,0,14.7,0,1.14,0,0,0,0,0,0
819.28,532.35,0,0,0,0,0,1.47,6.67,3.41,0,0,0,0,14.7,0,1.14,0,0,0,0,0,0
819.42,534.44,0,0,0,0,0,1.47,6.67,0,0,0,0,0,14.7,0,0,0,0,0,0,0,0
819.57,536.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819.71,538.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819.85,540.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819.99,542.8,6.46,0,0,7.14,0,0,0,0,0,10.51,0,0,14.67,0,0,0,0,0,0,0,0
820.13,544.89,7.36,3.66,13.79,42.37,29.21,29.46,0,17.45,27.67,53.18,62.61,25.32,45.11,25.56,25.7,0,0,28.79,0,0,0
820.27,546.98,28.93,10.35,44.32,79.89,58.02,78.92,24.74,27.17,35.28,109.87,131.96,100.05,80.86,64.11,66.7,0,0,40.96,9.13,9.67,19.1
820.41,549.06,54.02,32.05,62.26,113.53,63.41,109.02,36.29,39.11,54.15,172.39,207.35,148.16,85.23,105.97,108.65,2.33,0,45.77,9.13,27.79,19.1
820.55,551.15,54.57,36.68,64.37,126.22,62.03,116.85,50.53,42.68,54.12,197.61,226.4,192.53,84.98,107.12,108.37,2.33,0,16.97,31.09,27.79,28.43
820.69,553.23,36.9,34.41,43.26,129.62,60.37,93.72,26.58,32.97,54.76,174.22,225.82,162.95,74.11,92.31,88.82,2.33,0,4.81,21.95,18.11,9.33
820.83,555.32,5.34,29.26,39.6,99.4,65.75,71.3,15.02,21.03,43.07,126.21,182.95,146.42,55.08,68.23,46.87,0,0,0,21.95,0,9.33
820.97,557.4,3.89,20.97,23.7,53.33,41.29,34.02,0.78,0,15.44,90.02,127.9,91.38,31.43,55.97,21.45,0,0,0,0,0,0
821.11,559.48,0,16.55,14.28,12.41,14.15,13.36,0,0,7.18,56.73,59.14,55.28,6.54,32.22,0,0,0,0,0,0,0
821.25,561.56,0,0,3.17,1.85,5.9,5.67,0,0,2.41,58.42,48.3,44.46,24.33,16.19,1.67,0,0,0,0,0,0
821.39,563.64,10.12,15.44,12.87,1.58,10.58,13.24,0,0,16.95,55.39,73.39,84.57,30.18,25.76,10.6,0,0,0,5.37,0,0
821.53,565.72,10.12,17.9,35.97,1.58,37.72,21.61,20.96,7.89,27.8,89.58,107.64,116.52,66.7,50.28,20.99,0,0,0,5.37,0,0
821.67,567.8,10.12,18.28,32.8,1.58,35.2,21.61,20.96,7.89,25.38,64.1,107.62,98.86,53.77,50.08,23.05,0,0,0,5.37,0,0
821.81,569.87,0,13.7,23.11,0,33.04,14.04,20.96,7.89,10.85,36.57,67.2,50.81,44.78,41.49,31.73,0,0,0,0,0,0
821.95,571.95,0,11.23,0,0,5.9,0,0,0,0,2.38,32.95,9.81,8.26,18.74,21.34,0,0,0,0,0,0
822.09,574.02,0,14.99,9.64,0,5.9,0,0,0,0,1.15,25.08,6.72,3.4,17.2,27.58,0,0,0,0,0,0
822.23,576.09,0,4.14,9.64,0,0,0,0,0,0,0,13.8,0,0,1.76,9.97,0,0,0,0,0,0
822.37,578.17,0,4.14,9.64,0,0,0,0,0,0,0,13.8,0,0,0,9.97,0,0,0,0,0,0
822.51,580.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822.65,582.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822.79,584.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822.93,586.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823.07,588.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823.21,590.58,5.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823.35,592.64,5.14,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0
823.49,594.71,5.14,8.38,0,0,0,0,0,0,3.55,3.89,0,4.07,0,0,0,0,0,0,0,0,0
823.63,596.77,0,24.69,11,0,0,1.45,0,0,3.55,21.58,0,44.66,15.81,6.5,13.41,0,0,0,0,0,0
823.77,598.83,0,24.69,13.75,0,0,1.45,0,0,2.89,21.58,7.81,55.88,15.81,13.91,17.71,0,0,0,0,0,0
823.91,600.89,0,16.31,13.75,0,0,1.45,0,0,0,17.7,29.08,65.2,15.81,17.08,17.71,0,0,0,0,0,0
824.05,602.95,2.83,0,8.79,8.7,3.74,0,0,0.59,16.61,31.48,63.81,41.47,8.16,19.51,21.75,0,0,0,0,0,0
824.19,605.01,2.83,0,6.04,8.7,3.74,0,0,0.59,16.61,31.48,56,30.25,8.16,12.11,17.46,0,0,0,0,0,0
824.33,607.07,2.83,4.65,6.04,8.7,10.27,0,8.81,0.59,31.1,40,51.53,40.88,19.63,22.56,17.46,0,0,0,0,0,0
824.47,609.13,2.13,20.23,9.54,0,6.52,0,8.81,9.26,28.61,38.44,48.69,65.8,35.63,31.31,27.16,0,0,0,0,4.59,0
824.61,611.18,6.75,20.23,26.61,24.85,8.77,12.05,18.43,21.08,45.22,86.61,86.19,110.57,65.36,46.58,47.23,12.45,0,0,27.62,11.12,0
824.75,613.24,18.83,42.49,36.22,33.47,20.93,12.05,23.05,38.1,61.13,143.19,124.81,148.3,73.83,41.13,87.87,12.45,0,0,55.46,19.24,19.22
824.89,615.29,39.26,30.32,34.17,33.47,20.93,12.05,26.94,30.03,74.21,140.95,145.62,133.54,65.15,47.54,77.9,12.45,0,0,70.13,32.31,33.99
825.03,617.35,36.48,33.33,17.1,8.62,18.69,0,17.33,36.67,73.99,112.78,142.82,133.53,35.43,36.02,68.67,7.26,0,0,53.43,30.72,43.74
825.17,619.4,24.39,6.42,14.16,0,0,0,10.77,19.93,62.04,71.57,101.99,97.47,15.48,27.83,36.4,7.26,0,0,38.96,39.01,40.76
825.31,621.45,1.82,3.02,12.68,0,0,0,6.87,32.23,47.47,72.44,78.56,88.49,13.58,13.34,43.54,8.7,0.35,0,42.17,30.98,30.11
825.45,623.5,5.16,0,12.68,0,0,0,6.87,26.81,31.08,52.43,43.86,43.74,13.58,9.6,32.7,1.44,0.35,3.18,43.94,26.04,23.35
825.59,625.55,5.16,0,6,0,0,0,0,26.54,12.62,28.89,29.26,18.05,16.9,9.6,24.33,1.44,2.67,3.18,30.58,21.46,7.12
825.73,627.6,5.16,0,0,0,0,0,0,13.04,0,5.42,3.16,0,16,2.44,0,16.63,20.07,23.02,48.6,20.55,11.25
825.87,629.64,9.63,0,0,0,0,0,2.26,7.22,12.38,11.43,18.92,19.72,27.24,20.15,4.39,50.58,56.44,49.29,71.52,25.01,36.6
826.01,631.69,9.63,10.44,0,0,0,0,17.84,22.8,15.38,32.23,28.18,25.64,55.27,28.66,12.25,65.39,82.64,69.55,125.72,51.57,52.21
826.15,633.73,14.79,34.61,20.95,4.72,0,3.88,26.6,41.94,44.52,71,65.97,57.97,63.93,37.4,37.77,107.62,102.07,53.29,136.45,93.68,75.69
826.29,635.78,5.17,34.61,32.91,4.72,0,3.88,24.34,42.29,39.64,83.74,71.06,83.52,58.89,27.11,41.45,95.75,100.07,39.94,137.08,123.7,69.06
826.43,637.82,44.55,69.6,65.19,39.19,22,21.3,48.62,59.37,79.14,136.22,131.22,153.49,61.93,49.24,54.54,135.89,124.75,67.26,168.73,142.73,133.44
826.57,639.86,78.71,82.14,75.19,62.63,31.36,27.25,58.07,76.61,92.47,144.56,158.58,206.31,96.49,58.88,74.49,110.49,120.55,105.05,157.18,163.22,176.6
826.7,641.9,109.09,123.93,106.96,84.24,65.87,44.26,81.07,92.59,142.2,189.64,192.35,224.88,122.46,81.28,91.86,112.78,106.37,112.18,178.97,164.72,181.77
826.84,643.94,69.71,105.71,107.86,82.15,67.5,44.69,73.64,83.95,135.98,140.48,167.19,206.53,112.51,87.75,104.97,90.42,53.17,87.33,132.79,161.57,138.29
826.98,645.98,47.66,83.72,87.31,66.92,63.64,34.85,58.73,51.16,106.6,101.5,131.9,144.71,88.76,73.75,79.61,56.97,28.13,51.94,105.74,116.54,63.39
827.12,648.02,17.28,41.92,43.89,45.31,29.14,17.84,44.88,27.61,64.94,37.67,77.27,80.86,56.58,43.94,54.17,32.59,7.95,28.71,47.69,80.57,36.51
827.26,650.06,18.57,14.83,10.71,12.92,5.51,0,12.45,3.59,28.66,13.21,33.01,23.33,32.14,12.1,20.11,0,7.95,5.98,8.02,26.3,0
827.4,652.09,1.29,0.11,0.3,0,0,0,9.15,0,15.57,0,0,0,0,5.26,0,0,0,0,0,0,0
827.54,654.13,1.29,0.11,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
827.68,656.16,0,11.81,0,0,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0
827.82,658.2,8.91,11.81,0,0,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0
827.96,660.23,8.91,11.81,0,0,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0
828.1,662.26,8.91,0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0,0,0,0,0
828.24,664.29,2.69,8.96,0,0,0,0,0,0,1.51,20.58,4.1,0,6.14,9.09,5.65,0,0,0,0,0,0
828.38,666.32,35.47,13.02,19.11,5.27,2.07,1.71,13.14,3.8,30.24,45.04,24.35,26.4,31.12,37.38,26.82,0,12.5,0,0,0,0
828.52,668.34,53,17.84,36.7,5.27,2.07,1.71,13.14,4.22,30.24,64.04,36.42,48.72,41.91,43.86,37.5,0,12.5,0,0,0,0
828.65,670.37,50.3,8.88,36.7,5.27,2.07,1.71,13.14,4.22,28.73,43.46,32.7,48.72,35.77,34.77,31.86,0,12.5,0,0,0,0
828.79,672.4,17.53,4.83,17.58,0,0,0,0,0.43,0,19,12.45,22.32,10.8,6.48,10.69,0,0,0,0,0,0
828.93,674.42,13.35,13.36,7.23,0,0,0,0,0,0.69,0,0,14.92,0,4.88,0,0,0,0,0,0,0
829.07,676.45,15.68,13.36,7.23,0,0,0,0,0,0.69,21.85,0,14.92,2.13,19.14,4.45,0,0,0,0,0,0
829.21,678.47,23.44,13.84,16.64,4.3,0,0,0,0,0.69,29.21,0,14.92,18.72,23.89,4.45,0,0,0,0,0,0
829.35,680.49,10.1,2.96,9.41,4.3,0,0,0,0,0,29.21,0,0,18.72,19,4.45,0,0,0,0,0,0
829.49,682.51,7.76,9,9.41,4.3,0,0,0,0,0,9.04,0.09,0,23.73,4.74,0,0,0,0,0,0,0
829.63,684.53,33.85,17.13,12.98,19.73,0,14.03,0.66,14.25,3.32,31.29,20.44,35.98,21.83,19.26,24.77,0,0,0,0,0,0
829.77,686.55,33.85,15.83,30.89,21.43,0,20.1,0.66,14.25,3.32,55.83,43.37,51.59,39.05,38.43,25.45,0,0,0,27.95,0,0
829.91,688.57,33.85,17.2,36.08,21.43,0,20.1,0.66,14.25,3.32,59.94,43.28,51.59,31.91,38.43,25.45,0,0,0,27.95,0,0
830.04,690.58,13.73,8.8,36.45,6.55,0,12.73,4.67,12.01,11.79,38.92,22.93,40.71,27.39,22.66,12.01,0,0,0,27.95,0,0
830.18,692.6,13.73,7.62,41.49,4.85,0,6.66,11.59,12.01,11.79,14.38,0,25.09,11.86,3.5,18.22,0,0,0,0,0,0
830.32,694.61,13.73,15.35,53.32,4.85,0,6.66,11.59,12.01,11.79,8.59,0,25.09,11.86,3.5,18.22,0,0,0,0,0,0
830.46,696.63,0,15.14,39.97,0,0,0,6.92,0,0,0,0,0,1.69,0,6.89,0,0,0,0,0,0
830.6,698.64,13.32,28.67,38.81,0,0,12.96,0,9.03,0,5.53,20.2,13.21,10.55,30.33,6.83,1.99,0,0,0,0,0
830.74,700.65,34.87,24.31,40.55,2.16,0,12.96,9.13,9.03,4.87,34.62,39.94,52.69,19.26,55.18,18.18,1.99,0,0.4,24.62,0.92,30.67
830.88,702.66,65.67,59.35,56.93,17.89,0,12.96,17.79,9.03,4.87,41.26,61.22,79.77,45.79,55.18,28.38,6.84,0,0.4,39.55,0.92,70.58
