WP-00790,Wavenumber,PMMA200ppm-1,PMMA200ppm-2,PMMA200ppm-3,PMMA100ppm-1,PMMA100ppm-2,PMMA100ppm-3,PMMA50ppm-1,PMMA50ppm-2,PMMA50ppm-3,PMMA10ppm-1,PMMA10ppm-2,PMMA10ppm-3,PMMA5ppm-1,PMMA5ppm-2,PMMA5ppm-3
823.35,592.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823.49,594.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823.63,596.77,0,13.8,26.08,13.92,58.31,36.81,28.67,58.34,39.81,17.77,6.01,26.9,0,0,27.34
823.77,598.83,34.27,81.59,59.16,95.49,104.64,132.64,83.28,136.32,95.65,61.42,9.88,45.63,8.93,0,37.58
823.91,600.89,109.07,123.82,136.35,156.5,164.77,236.94,160.6,198.05,152.95,93.04,42.35,59.95,15.52,32.74,39.17
824.05,602.95,163.1,131.37,133.59,244.7,134.38,255.56,173.28,176.85,177.55,88.49,46.39,60.26,15.52,52.44,25.42
824.19,605.01,128.83,63.58,100.51,163.13,97.88,170.74,118.67,106.84,131.67,44.84,42.52,41.53,6.59,52.44,15.17
824.33,607.07,63.36,21.35,38.43,162.68,98.83,94.71,101.29,105.91,154.87,23.79,20.05,59.34,9.04,52.49,13.59
824.47,609.13,100.9,111.93,106.34,220.9,203.79,181,212.2,181.28,235.37,105.32,78.83,117.06,106.68,90.84,68.72
824.61,611.18,275.23,256.87,292.58,411.9,405.51,337.07,364.67,307.73,394.95,226.45,183.02,223.33,205.8,183.34,145.27
824.75,613.24,474.09,434.6,457.16,571.11,596.45,532.7,494.85,433.03,494.05,374.48,306.96,333.56,314.8,266.94,263.42
824.89,615.29,565.84,473.08,534.61,605.2,654.94,577.2,530.53,494.18,535.34,384.99,366.72,338.6,315.32,311.73,271.33
825.03,617.35,521.24,465.21,479.72,586.62,606.08,600.69,561.51,510.3,529.92,363.09,357.06,338.9,294.8,303.81,277.2
825.17,619.4,375.07,337.79,371.26,534.79,494.65,491.94,493.56,432.15,456.9,272.23,272.44,252.9,237.02,243.3,211.82
825.31,621.45,201.33,187.46,227.56,400.73,385.64,381.95,410.34,323.74,348.63,197.73,202.86,218.94,194.32,166.2,187.17
825.45,623.5,71.6,50.38,96.21,228.32,223.84,191.38,234.63,198.84,217.53,100.39,108.33,126.79,135.13,96.62,110.38
825.59,625.55,9.56,0.08,24.98,60.37,83.25,76.24,112.48,90.88,110.95,32.66,59,70.44,74.87,40.73,57.62
825.73,627.6,0,0,0,0,0.9,0,31.12,25.64,33.02,18.28,0,20.27,19.42,15,10.54
825.87,629.64,0,0,0,9.39,46.79,48.04,57.05,41.38,31.24,36.18,9.89,33.03,12.24,18.09,26.42
826.01,631.69,0,0,0.75,65.15,90.63,98.14,115.88,98.99,145.75,60.22,50.67,70.76,54.62,40.97,35.1
826.15,633.73,37.72,27.78,21.64,157.37,178.29,215.06,182.6,186.57,232.28,116.54,108.43,112.95,134.91,70.06,82.81
826.29,635.78,104.88,91.27,83.21,251.55,249.85,280.32,258.16,279.95,294.13,172.68,160.81,147.63,185.41,117.83,104.04
826.43,637.82,255.92,252.57,245.47,421.13,401.49,443.65,416.44,440.73,392.05,271.21,243.91,252.37,261.65,200.34,194.01
826.57,639.86,410.77,454.21,462.03,580.33,583.75,590.27,550.33,603.12,555.59,378.35,341.95,369.71,314.86,292.82,253.96
826.7,641.9,548.23,611.81,610.54,741.16,730.63,747.18,694.84,697.13,725.74,446.76,435.59,455.33,379.71,377.93,365.87
826.84,643.94,608.2,615.92,610.89,728.16,777.35,765.94,657.85,708.65,747.39,464,448.07,442.12,350.74,385.57,369.98
826.98,645.98,524.56,452.43,426.96,594.56,624.8,660.42,548.58,610.89,659.77,345.3,378.94,376.63,278.19,321.95,297.5
827.12,648.02,319.93,231.34,216.88,330.16,359.57,390.21,303.47,398.96,419.99,200.96,223.02,229.14,150.61,170.98,142.83
827.26,650.06,108.92,65.93,53.52,117.82,117.37,158.03,123.35,169.07,185.91,61.15,86.66,99.89,60.95,57.96,40.07
827.4,652.09,0,0,0,0,0,0,8.63,16.85,23.46,0,0,0,0,0,0
827.54,654.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827.68,656.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827.82,658.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827.96,660.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
828.1,662.26,0,0,0,0,0,0,0,12.67,0,0,5.76,9.94,0,0,12.78
