WP-00790,,PS0.1ppm-1,PS0.1ppm-2,PS0.1ppm-3,PS0.5ppm-1,PS0.5ppm-2,PS0.5ppm-3,PS1.0ppm-1,PS1.0ppm-2,PS1.0ppm-3,PS5ppm-1,PS5ppm-2,PS5ppm-3,PS10ppm-1,PS10ppm-2,PS10ppm-3,PS50ppm-1,PS50ppm-2,PS50ppm-3,PS100ppm-1,PS100ppm-2,PS100ppm-3,PS200ppm-1,PS200ppm-2,PS200ppm-3
Wavelength,Wavenumber,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed
816.89,496.61,19.99,2.41,0,18.98,12.95,9.62,1.78,8.24,0,15.34,37.76,0,0,0,0,0,0,0,0,0,0,0,0,0
817.03,498.72,13.39,0,1.47,0,8.95,0,0,0,3.83,22.6,0,0,10.39,0,0,3.41,0,10.89,0,0,0,1.5,0,0
817.17,500.83,47.94,36.57,6.4,0,29.92,40.02,14.81,24.89,32.18,16.75,5.16,30.96,36.04,26.03,27.46,50.21,60.68,86.76,8.09,22.91,13.28,62.61,57.68,64.59
817.31,502.93,52.8,39.11,6.4,8.15,30.35,44.11,19.36,24.89,33.59,25.73,5.16,58.32,36.04,26.03,27.46,50.21,67.51,120.09,8.09,22.91,13.28,62.61,73.17,64.59
817.46,505.04,50.17,51.93,15.5,8.15,30.35,52.87,19.36,24.89,29.76,8.99,5.16,58.32,25.64,26.03,27.46,46.8,67.51,109.2,8.09,22.91,13.28,61.11,73.17,64.59
817.6,507.15,4.86,15.37,10.57,8.15,0.43,12.84,4.55,0,1.41,8.99,0,27.36,0,0,0,0,6.83,33.34,0,0,0,0,15.49,0
817.74,509.25,0,12.83,15,0,0,13.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817.88,511.36,7.03,6.42,4.44,0,0,4.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818.02,513.46,12.94,6.42,14.97,13.07,0,4.96,0,0,0,0,16.65,11.91,0,0,0,0,0,0,0,0,0,0,0,0
818.16,515.56,12.94,10.08,10.54,13.07,0,0,0,0,0,0,16.65,11.91,0,0,0,0,0,0,0,0,0,0,0,0
818.3,517.66,5.91,3.66,10.54,13.07,12.99,0,0,0,0,0,16.65,22.77,0,0,0,0,0,0,0,0,0,0,0,0
818.44,519.77,0,3.66,0,0,12.99,0,0,0,0,0,13.79,20.28,0,0,0,0,0,0,0,0,0,0,0,0
818.58,521.86,0,0,0,0,12.99,0,0,0,0,0,13.79,20.28,0,0,0,0,0,0,0,0,0,0,0,0
818.72,523.96,0,0,0,0,0,0,0,0,0,0,13.79,9.42,0,0,0,0,0,0,0,0,0,0,0,0
818.86,526.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819,528.16,13.04,8.07,35,31.1,15.21,0,0,0,0,8.73,2.9,14.55,0,0,0,0,0,0,0,0,0,0,0,0
819.14,530.25,13.04,12.26,35,32.06,15.21,34.41,0,0,0,8.73,6.8,17.77,0,0,0,0,0,0,0,0,0,0,0,0
819.28,532.35,35.84,29.89,39.25,49.16,15.77,56.04,0,0,0,34.79,6.8,27.98,0,0,0,0,0,0,0,0,0,0,0,0
819.42,534.44,54.61,23.53,28.94,29.59,19.73,56.04,0,0,0,26.06,44.11,13.62,0,0,0,0,0,0,0,0,0,0,0,0
819.57,536.53,87.2,41.9,64.48,53.69,33.58,30.01,0,0,0,26.06,61.58,10.4,0,0,0,0,0,0,0,0,0,0,0,0
819.71,538.62,71.2,24.27,62.71,36.59,33.03,8.39,0,0,0,0,69.34,18.59,0,0,0,0,0,0,0,0,0,0,0,0
819.85,540.71,39.39,30.08,38.03,34.01,20.97,14.83,0,0,0,0,57.27,18.4,0,0,0,0,0,0,0,0,0,0,0,0
819.99,542.8,28.95,7.52,7.81,8.96,24.46,18.02,0,0,0,0,37.59,21.73,0,0,0,0,0,0,0,5.96,0,16.7,0,0
820.13,544.89,33.36,44.6,5.32,46.35,42.68,54.04,18.26,1.52,0,0,59.2,15.32,16.31,27.15,34.98,79.81,95.33,84.7,88.54,111.54,91.38,179.91,146.13,149.01
820.27,546.98,73.36,44.68,24.63,50.55,35.57,60.8,38.78,29.29,16.47,0,33.1,49.62,69.24,54.59,66.27,195.91,230.58,191.64,222.72,262.82,227.47,439.69,383.55,379.64
820.41,549.06,61,44.68,19.31,50.55,48.29,49.22,57.89,41.98,27.87,16.66,43.28,63.77,115.09,102.65,127.17,361.24,354.36,321.45,391.49,397.45,363.86,692.61,642.19,633.83
820.55,551.15,49.8,7.61,19.76,24.21,52.46,13.2,39.63,49.18,36.31,28.05,21.86,51.78,119.33,104.61,102.14,433.38,385.75,344.15,438.7,433.81,472.23,757.24,740.98,727.93
820.69,553.23,9.8,0,0.45,17.88,73.81,6.1,33.93,21.41,51.99,28.05,19.83,24.83,90.61,93.61,106.16,435.82,348.76,321.15,416.2,432.13,441.23,686.46,712.03,698.97
820.83,555.32,0,0,0.45,30.24,50.11,6.1,14.82,8.72,40.58,11.39,7.95,7.35,60.4,51.11,45.25,315.33,298.85,254.88,311.44,412.18,349.29,568.4,613.13,566.05
820.97,557.4,0,0,0,19.19,41.2,6.83,14.82,3.75,32.34,27.13,11.06,7.35,46.34,22.01,35.3,212.24,229.68,184.7,233.08,317.3,190.08,437.38,480.94,422.5
821.11,559.48,0,0,0,12.36,19.86,0.73,0,3.75,0.2,27.13,11.06,0,22.13,5.56,0,128.45,160.82,100.76,148.35,178.38,134.5,329.31,350.35,316.9
821.25,561.56,0,0,0,0,13.48,0.73,0,9.17,0.43,27.13,13.02,0,6.49,0,3.19,131.63,129.92,67.18,138.26,140.76,125.88,283.18,284.04,298.57
821.39,563.64,0,0,0,0,0,4.94,19.51,13.16,0.23,0,1.96,3.3,26.59,17.57,3.19,165.77,133.66,64.57,170.47,161.78,173.23,324.99,331.01,345.18
821.53,565.72,0,0,0,0,0,4.94,22.78,13.66,0.23,15.26,7.53,10.33,36.84,17.57,4.64,150.44,143.6,83.54,212.87,197.65,190.42,360.31,377.81,364.29
821.67,567.8,0,0,0,0,0,4.94,22.78,8.24,0,15.26,5.58,10.33,36.84,17.57,1.46,112.86,108.29,53.58,184.69,138.93,154.59,355.36,339,313.79
821.81,569.87,0,0.17,6.95,0,43.16,11.89,3.27,0.5,0,15.26,5.58,7.03,10.25,15.88,1.46,29.85,47,18.97,121.48,70.85,66.69,257.36,214.82,197.25
821.95,571.95,0,0.17,6.95,0,43.16,11.89,0,0,0,0,0,0,0,15.88,0,10.43,7.67,0,52.12,24.3,0,151.2,90.13,84.88
822.09,574.02,0,18.58,13.14,0,43.16,11.89,0,0,0,9.06,21.11,12.46,0,15.88,0,0,0,0,26.39,0,0,50.73,35.51,32.45
822.23,576.09,0,18.41,6.19,0,0,3.39,0,0,0,18.23,21.11,36.35,0,0,0,0,0,0,0,0,0,10.09,0,2.8
822.37,578.17,20,21.68,12.59,9.91,13.72,15.85,0,0,0,40.83,35.46,36.35,0,0,0,0,0,0,0,0,0,0,0,0
822.51,580.24,36.94,22.84,17.42,26.79,36.91,64.7,0,0,0,34.91,34.59,23.89,0,0,0,0,0,0,0,0,0,0,0,0
822.65,582.31,53.35,56.92,35.62,39.5,114.09,74.08,0,0,0,25.74,34.59,0,0,0,0,0,0,0,0,0,0,0,0,0
822.79,584.38,53.9,78.23,79.6,117.13,147.85,125.28,0,0,0,10.19,21.77,0,0,0,0,0,0,0,0,0,0,0,0,0
822.93,586.45,40.09,88.5,95.22,146.34,155.88,135.41,0,0,0,7.06,1.53,4.44,0,0,0,0,0,0,0,0,0,0,0,0
823.07,588.51,79.13,80.96,113.02,166.05,133.05,164.37,0,0,0,26.32,12.65,19.35,0,0,0,0,0,0,0,0,0,0,0,0
823.21,590.58,73.15,102.73,90.45,153.36,114.16,144.26,0,0,0,30.57,27.96,31.28,0,0,0,0,0,0,0,0,0,0,0,0
823.35,592.64,108.25,98.58,102.64,160.05,142.65,97.86,0,21.21,15.02,77.22,84.18,68.79,0.15,0,7.9,0,0,0,0,0,0,0,0,0
823.49,594.71,86.65,102.39,92.45,163.34,130.07,84.73,12.23,24.34,32.33,115.29,120.98,72.48,14.95,9.96,7.9,3.93,0,0,11.84,18.91,31.24,33.1,37.16,22.18
823.63,596.77,97.59,62.74,73.13,128.13,131.99,42.11,21.04,24.34,51.24,133,169.43,92.81,27.71,21.56,12.1,19.86,2.67,22.56,47.7,85.89,73.85,113,104.5,96.19
823.77,598.83,62.73,41.94,51,113.08,75.73,45.31,36.98,18.98,39.61,104.68,156.51,76.11,74.16,52,5.59,73.32,44.53,34.97,81.44,126.77,120.35,179.56,207.86,173.54
