,PS0ppm-1,PS0ppm-2,PS0ppm-3,PS0.05ppm-1,PS0.05ppm-2,PS0.05ppm-3,PMMA0ppm-1,PMMA0ppm-2,PMMA0ppm-3,PMMA0.05ppm-1,PMMA0.05ppm-2,PMMA0.05ppm-3,PMMA0.1ppm-1,PMMA0.1ppm-2,PMMA0.1ppm-3,PE0ppm-1,PE0ppm-2,PE0ppm-3,PE0.01ppm-1,PE0.01ppm-2,PE0.01ppm-3,PLA0ppm-1,PLA0ppm-2,PLA0ppm-3,PLA0.05ppm-1,PLA0.05ppm-2,PLA0.05ppm-3,PLA0.1ppm-1,PLA0.1ppm-2,PLA0.1ppm-3,PLA0.5ppm-1,PLA0.5ppm-2,PLA0.5ppm-3,PLA1ppm-1,PLA1ppm-2,PLA1ppm-3,PLA5ppm-1,PLA5ppm-2,PLA5ppm-3,PLA10ppm-1,PLA10ppm-2,PLA10ppm-3
PMMA0.05ppm-2,0.4380017483793232,0.4261248215202222,0.43448554836815534,0.3674922784150164,0.3637827951038188,0.36098152454558835,0.7600721726369086,0.7710732408427803,0.7563988223850667,0.8459514967358562,1.0,0.8384575115168756,0.7417756668436758,0.7031024193781714,0.7283873686887592,0.6857093801696684,0.7251882841254763,0.6862853893873834,0.6809949513004233,0.6671057059834995,0.6740512432128802,0.2880032450017415,0.29040004007950565,0.2708337069798041,0.327175878024281,0.3917691978469891,0.3611040813862745,0.16966054941895223,0.1815829921156467,0.17421326105864457,0.18338805405000427,0.19730222027343253,0.21718172799475574,0.21505009070254635,0.21526129750825923,0.2291256613842394,0.1841668985837773,0.1763692932239702,0.20129935911316904,0.5596275323700975,0.550266395206515,0.5441231366629952
PMMA0.05ppm-3,0.4745459768506187,0.4621010535134418,0.48022757638309416,0.4139613034708107,0.40583994505715476,0.411433849304736,0.7699945845897075,0.7668747205532156,0.7629277715766969,0.8709928862651166,0.8384575115168756,1.0,0.7564488859898747,0.73477188022133,0.777862089519177,0.7088649704697745,0.7342040374374902,0.7057480557200279,0.6776337704623916,0.6576393884859099,0.6601399620399535,0.31266510625950833,0.31663719526771134,0.3072715617812695,0.37969943539375806,0.4393743503202709,0.40620848640621854,0.20395136532963376,0.22849929968617488,0.20622740623064015,0.2305778099164903,0.23139415127876187,0.25759307576540774,0.22971102245520766,0.26591440328763355,0.28369776763053767,0.2144480948786149,0.19952333646181586,0.21900859011602875,0.5542781451926194,0.5488602140483528,0.5515912357225223
PMMA0.1ppm-1,0.3643143076889221,0.35869431816968383,0.37190581611139245,0.3005390273077509,0.29929606344070564,0.29723056744745324,0.7132750037455559,0.6989716590591506,0.6907929612173563,0.7671036435858112,0.7417756668436758,0.7564488859898747,1.0,0.797047150625337,0.8222339469086999,0.5624444683611303,0.6050437815808041,0.5939627668960034,0.7081184542614353,0.6987690970362792,0.6984287708359118,0.18846457019622131,0.19564412442910453,0.20316009219771747,0.2641901193805609,0.3216690071811316,0.30014245707790477,0.09481805110354301,0.11153773735567978,0.09494817490238452,0.12401678425231458,0.1329399929489124,0.150533780107927,0.12436147647309556,0.16177681139038314,0.17971017803356915,0.09922712866056904,0.09119375203699144,0.10043785204881336,0.322375759945916,0.3312336822683403,0.3243786247841631
PMMA0.1ppm-2,0.3963565059186513,0.38634800198372315,0.40122393956685,0.3336531358182781,0.3362841128376041,0.3303239307351379,0.681574258897963,0.6892063888707483,0.6696044420407202,0.7486200841213639,0.7031024193781714,0.73477188022133,0.797047150625337,1.0,0.8221644439263656,0.550525296164876,0.5725113756358695,0.5699746547473628,0.6623955875453991,0.6698219014896851,0.6820507794623849,0.20330846457302332,0.19707086771999066,0.19885547823374042,0.24083359232823234,0.3153665819467141,0.29125001569836634,0.09132404268792024,0.10304535870981832,0.09466626082821036,0.13615507354605055,0.12915794486169654,0.15349796133619076,0.12616554877081043,0.15704445161511832,0.17210949684539287,0.10727265741091815,0.10164235885466241,0.10512597296147054,0.33237800819258323,0.33313375725255506,0.3346777311442768
PMMA0.1ppm-3,0.3749297703265826,0.371128416385013,0.37967241470608415,0.31629247165282004,0.31635911537919253,0.3158807673471533,0.6911190583902548,0.6628761889593685,0.704986083849923,0.7595235020632848,0.7283873686887592,0.777862089519177,0.8222339469086999,0.8221644439263656,1.0,0.5639430702906384,0.5791287386411261,0.5668711700258251,0.6613758508543786,0.674867636271315,0.675201776398578,0.19102163084159707,0.18180561941288814,0.19305771096561436,0.24428396676512515,0.30771126793795883,0.29148821178435846,0.08488794656517717,0.09590007088432405,0.08329089651726321,0.11774575039562409,0.13654319101228873,0.1452276087988033,0.1384091755681828,0.1534907896901892,0.18577265375462726,0.09965500346633745,0.09065504001549672,0.09926162376288068,0.3532781902366784,0.3451739258256959,0.3335760722193232
PE0ppm-1,0.5110848719828255,0.5023022349109921,0.5075220276549562,0.41373456073009784,0.42009451497097333,0.42736785902902846,0.682438095486684,0.6725918705207833,0.6510964079268373,0.7062106928160605,0.6857093801696684,0.7088649704697745,0.5624444683611303,0.550525296164876,0.5639430702906384,1.0,0.7992153589874343,0.788734913010628,0.6451900716334054,0.6321561301989129,0.6382986135504192,0.352700496559417,0.36885592751832263,0.3316289525096598,0.4063986681053074,0.4482831815320658,0.4079816536730181,0.26993598338780855,0.27511388513335056,0.2527189238784176,0.2473088640855489,0.26334130756884333,0.30420394992737965,0.28740145272859646,0.3089147563873907,0.31346303528262576,0.23704624431624707,0.2434509907568056,0.25160042168367636,0.6101880071358345,0.606632026031286,0.5868772593340864
PE0ppm-2,0.4727086917690498,0.47109191398594,0.4771852360821596,0.3904129297475609,0.3940647740078434,0.3990139362659563,0.6947479888192102,0.7086403359440963,0.6912793420157914,0.7301349128048235,0.7251882841254763,0.7342040374374902,0.6050437815808041,0.5725113756358695,0.5791287386411261,0.7992153589874343,1.0,0.7930062943466799,0.6845675293424287,0.6689735054906009,0.6699504066978583,0.348262686484055,0.3490396479487541,0.3203316687436337,0.4235835508793884,0.4545847209570563,0.4281195771407983,0.2699792010693003,0.2701055940832563,0.2632380999476609,0.27315451741378755,0.2952844574805192,0.3309346052131413,0.2949012126810479,0.3404978582447076,0.31948769794363996,0.24737757269585423,0.24538183314166043,0.257511261379989,0.5949010909085481,0.5939895833727059,0.5984201015303879
PE0ppm-3,0.4315896403920872,0.41832363164926917,0.42801682234928623,0.34385289672855934,0.342054737896501,0.3484133426486402,0.7060420751278895,0.7139954418072585,0.6829487202663872,0.717907930315252,0.6862853893873834,0.7057480557200279,0.5939627668960034,0.5699746547473628,0.5668711700258251,0.788734913010628,0.7930062943466799,1.0,0.723412740412955,0.6838050299551396,0.6871381580500507,0.3293799713521375,0.34400542469489775,0.30399010077012417,0.37970503855707144,0.415347288936259,0.3878134309538205,0.25206668151757766,0.2618081357275936,0.24389090110042472,0.26497425656371115,0.25658976702684166,0.28283280082151285,0.28316661208385085,0.30751508304107167,0.2944202311587361,0.24466529520882893,0.24281289376912712,0.25285828211289435,0.5838186670792157,0.5860784419916002,0.5688062110338747
PE0.01ppm-1,0.25835453115876084,0.25297524917836384,0.25449984705852474,0.18490340164375618,0.17959147957742835,0.1825776974808586,0.7149022668458275,0.7145654756659302,0.7048777588362181,0.6880154183702443,0.6809949513004233,0.6776337704623916,0.7081184542614353,0.6623955875453991,0.6613758508543786,0.6451900716334054,0.6845675293424287,0.723412740412955,1.0,0.886728565489146,0.8781068612454417,0.11626197808750854,0.11363488392992817,0.10778723294766852,0.20737211022819893,0.25253482291209095,0.22112798331748557,0.047741957366791855,0.05176058379025455,0.04613566248343741,0.10591658043067635,0.1161732143200324,0.11676357294618178,0.14910399388577747,0.18726361080703569,0.1674035135374096,0.0752942612228388,0.06289614092815028,0.07515144033189831,0.3049694196710582,0.29686904383012874,0.29762869988478746
PE0.01ppm-2,0.26666303846219663,0.2622647861590148,0.25976416045641193,0.19399990195724884,0.1896589146453104,0.19399941934081943,0.7127088626259787,0.7081817724457588,0.7044791951679955,0.6421484150490349,0.6671057059834995,0.6576393884859099,0.6987690970362792,0.6698219014896851,0.674867636271315,0.6321561301989129,0.6689735054906009,0.6838050299551396,0.886728565489146,1.0,0.8857949225201792,0.09772417703547706,0.11101582591634537,0.09352221864756105,0.20037873626075633,0.2529827998679736,0.21803672178849617,0.045664830509435,0.04277917589380748,0.03631869176100326,0.10967356476398056,0.10980747971762353,0.11352441867387812,0.14721404593845214,0.17715410034155676,0.1785600533735836,0.06528405850861568,0.059166239135624306,0.06549763536367234,0.29816138892597144,0.28748008428216737,0.29147798528053276
