WP-00790,,PE0.05ppm,PE0.1ppm,PE0.5ppm,PE1ppm,PE5ppm,PE10ppm,PE50ppm,PE100ppm,PE200ppm
Wavelength,Wavenumber,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed
827.82,658.2,44.26,15.45,17.29,5.03,8.02,0,11.27,114.98,0
827.96,660.23,34.38,14.57,17.29,3.15,8.02,0,8.42,56.29,0
828.1,662.26,31.49,0,0.99,1.25,2.28,0,0,36.75,0
828.24,664.29,28.47,0,0.99,0,0,0,0,37.35,22.16
828.38,666.32,32.1,0,0.99,0,0,1.61,0,38.77,45.47
828.52,668.34,33.5,0,0,0,0,5.29,0,27.02,75.02
828.65,670.37,46.22,0,0,1.08,0,5.29,0,1.57,52.86
828.79,672.4,49.14,12.79,0,1.08,5.93,3.68,0,27.91,29.55
828.93,674.42,75.5,15.79,0,18.86,7.23,14.55,15.49,43.96,11.46
829.07,676.45,85.5,16.67,0,17.78,7.23,14.55,21.6,55.91,11.46
829.21,678.47,81.39,13.18,0,26.81,3.51,14.55,40.21,56.4,11.46
829.35,680.49,36.88,10.18,0,9.02,2.22,0,24.72,40.2,0
829.49,682.51,12.05,9.3,0,9.02,2.22,0,18.61,28.25,0
829.63,684.53,9.45,2.33,0,0,0.99,0,0,12.13,22.52
829.77,686.55,20.09,3.39,0,0,0.99,0,15.54,21.81,47.75
829.91,688.57,20.09,3.39,0,0,0.99,0,15.54,21.81,47.75
830.04,690.58,26.22,6.82,1.61,0,6.14,24.55,33.8,20.65,51.35
830.18,692.6,15.58,5.76,1.61,0,7.91,24.55,21.01,10.97,26.12
830.32,694.61,15.58,5.76,1.61,0,11.08,24.55,37.02,10.97,26.12
830.46,696.63,6,0,10.32,0,10.83,0,29.03,0,0
830.6,698.64,20.94,0,36.56,0,20.9,14.19,53.34,13.58,13.24
830.74,700.65,20.94,6.01,48.6,0,35.72,31.03,67.04,56.29,51.7
830.88,702.66,14.94,6.01,44.78,0,32.96,31.03,67.15,58.1,97.38
831.02,704.67,0,6.01,18.54,0,21.13,16.83,51,51.98,87.24
831.16,706.68,0,0,6.5,0,3.14,0,21.27,9.28,58.83
831.29,708.69,0,0,0,0,0,4.02,10.9,35.87,18.03
831.43,710.69,0,0,0,0,0,4.02,0,33.43,14.93
831.57,712.7,17.77,0,0,0,9.56,8.39,0,51.4,4.88
831.71,714.7,17.77,0,0,0,9.56,4.36,0,22.99,0
831.85,716.71,32.9,12.74,0,0,9.56,4.36,2.48,17.97,0
831.99,718.71,15.61,12.74,0,0,2.54,0,5.4,0,0
832.13,720.71,22.64,18.49,1.76,0,2.61,0,6.31,0,0
832.26,722.71,9.43,5.75,1.76,0,2.61,0,16.05,3.67,15.89
832.4,724.71,9.55,5.75,6.24,0,0.64,5.37,14.09,22.58,53.05
832.54,726.71,2.51,0,4.48,0,3.32,5.37,13.18,22.58,68.67
832.68,728.71,0.59,0,4.48,0,3.32,5.37,0.96,18.91,52.78
832.82,730.7,0,2.57,9.73,0,7.4,0,6.02,1.45,15.62
832.96,732.7,0,2.57,9.73,0,6.03,0,6.02,1.45,0
833.1,734.69,6.6,18.43,9.73,17.88,14.78,10.43,24.33,23.87,0
833.23,736.69,18.51,15.85,0,30.54,13.49,10.43,37.64,29.71,0
833.37,738.68,25.6,21.98,0,34.56,26.62,10.43,49.86,41.42,0
833.51,740.67,19,9.09,4.5,16.68,28.95,10.96,31.55,27.57,0
833.65,742.66,7.09,9.09,4.5,4.01,25.6,10.96,12.23,35.59,0
833.79,744.65,0,2.97,4.5,0,11.09,10.96,0,40.51,0
833.93,746.64,4.12,0,0,0,0,2.79,0,31.94,0
834.06,748.63,7.07,2.45,0,0,0,2.79,0,16.62,0
834.2,750.61,7.07,2.45,0,0,0.73,2.79,0,0,0
834.34,752.6,6.54,2.45,0,0,0.73,0,0,2.26,7.05
834.48,754.58,3.59,0,0,0,0.73,0,0,2.26,7.05
834.62,756.57,3.59,0,0,0,0,0,0,2.26,7.05
834.75,758.55,0,0,0,0,0,0,0,0,0
834.89,760.53,0,0,0,0,10.57,13.3,0,22.35,0
835.03,762.51,0,0,0,0,10.57,13.3,0,27.44,0
835.17,764.49,0,0,0,0,10.57,13.3,4.84,40.5,9.78
835.31,766.47,0,2.59,0,0,0,0,15.58,18.16,19.27
835.44,768.45,0,2.59,0,0,0,0,15.58,42.08,19.27
835.58,770.42,0,2.59,0,0,0,0,10.74,51.35,9.49
835.72,772.4,0,0,0,0,0,0,7.09,78.89,8.89
835.86,774.37,0,1.45,0,0,0,2.96,7.09,68.95,8.89
836,776.34,0,1.45,0,0,0,2.96,7.09,49.25,8.89
836.13,778.32,0,1.45,0,0,0,2.96,9.5,56.01,13.02
836.27,780.29,0,11.37,13.12,12.97,19.24,11.27,20.31,101.9,56.48
836.41,782.26,2.36,12.96,13.12,17.42,32.41,20.35,40.42,152.24,92.71
836.55,784.23,2.36,12.96,25.42,17.42,49.74,40.12,87.23,149.16,114.9
836.69,786.19,16.99,12.96,40.86,8.16,45.19,50.18,136.81,132.21,128.18
836.82,788.16,22.67,31.07,82.33,32,74.74,64.35,180.15,146.05,166.9
