WP-00790,,PMMA0.5ppm-1,PMMA0.5ppm-2,PMMA0.5ppm-3,PMMA1ppm-1,PMMA1ppm-2,PMMA1ppm-3,PMMA5ppm-1,PMMA5ppm-2,PMMA5ppm-3,PMMA10ppm-1,PMMA10ppm-2,PMMA10ppm-3,PMMA50ppm-1,PMMA50ppm-2,PMMA50ppm-3,PMMA100ppm-1,PMMA100ppm-2,PMMA100ppm-3,PMMA200ppm-1,PMMA200ppm-2,PMMA200ppm-3
Wavelength,Wavenumber,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed
817.17,500.83,34.77,52.07,58.07,34.38,58.63,49.84,31.99,37.98,64.16,57.13,52.15,44.82,83.24,76.47,69,56.95,70.37,59.49,110.61,74.24,101.14
817.31,502.93,34.77,52.07,58.07,39.64,58.63,63.49,44.48,49.04,66.48,57.13,72.38,44.82,83.24,102.32,75.53,56.95,70.37,74.01,110.61,74.24,101.14
817.46,505.04,32.82,38.29,57.15,34,35.84,48.12,44.48,45.26,43.45,39.54,72.38,34.08,83.24,92.82,75.53,56.95,61.32,74.01,110.15,74.24,78.26
817.6,507.15,0,0,0,5.26,0,13.65,12.49,11.06,2.32,0,20.22,0,0,25.85,6.53,0,0,14.52,0,0,0
817.74,509.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817.88,511.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
818.02,513.46,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0
818.16,515.56,0,0,0,0,0,0,0,0,2.3,0,0,0,0,0,0,0,0,0,0,0,0
818.3,517.66,0,0,0,0,3.93,1.84,13.01,0,2.3,0,2.39,0.78,0,0,0,0,0,0,0,0,0
818.44,519.77,0,0,0,0,3.93,9.13,13.01,4.8,0,0,2.39,3.61,0,0,0,0,0,0,0,0,0
818.58,521.86,0,0,0,0,3.93,9.13,13.01,4.8,0,0,2.39,3.61,0,0,0,0,0,0,0,0,0
818.72,523.96,0,0,0,0,0,7.29,0,4.8,0,0,0,2.83,0,0,0,0,0,0,0,0,0
818.86,526.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819,528.16,0,0,5.7,5.68,5.91,0,0,0,19.61,17.95,10.78,0,0,0,0,0,3.24,0,0,0,0
819.14,530.25,0,0,5.7,5.68,5.91,0,0,0,19.61,17.95,10.78,0,0,0,0,0,3.24,0,0,0,0
819.28,532.35,0,0,5.7,5.68,5.91,0,0,0,19.61,17.95,10.78,0,0,0,0,0,3.24,0,0,0,0
819.42,534.44,0,0,0,0,0,0,4.84,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0
819.57,536.53,0,0,0,0,0,0,4.84,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0
819.71,538.62,0,0,0,0,0,0,4.84,0,11.6,0,0,0,0,0,0,0,0,0,0,0,0
819.85,540.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
819.99,542.8,0,2.93,0,8.3,23.6,7.87,19.35,3.09,0,0,0,0,20.5,0,16.19,0,0.57,2.8,0,0,0
820.13,544.89,20.15,34.71,46.16,51.6,55.5,41.72,52.07,35.88,49.87,47.54,31.44,55.36,143.63,116.97,144,90.25,83.45,88.23,133.37,145.12,124.24
820.27,546.98,70.91,63.1,73.61,72.33,78.45,56.66,83.91,84.13,78.54,91.77,88.56,101.08,311.12,295.97,307.17,218.56,203.06,224.06,345.47,366.62,327.22
820.41,549.06,102.27,83.17,90.67,99.16,65.84,83.46,97.18,98.41,97.67,124.32,126.36,131.49,486.1,456.31,460.81,338.23,323.79,353.78,564.6,594.8,554.9
820.55,551.15,116.97,76.19,45.73,70.26,39.18,60.87,69.74,78.64,64.93,108.88,122.27,117.44,538.64,507.53,520.68,356.55,357.44,396.09,635.57,679.72,667.54
820.69,553.23,95.4,60.95,30.52,59.43,47.25,86.68,49.03,46.6,54.25,84.84,72.9,73.45,513.86,491.77,494.89,313.24,333.13,362.78,589.19,616.63,641.5
820.83,555.32,81.45,44,16.28,24.3,36.26,55.43,36.94,29.52,73.85,65.75,45.16,51.75,423.32,411.24,434.67,268.52,279.42,306.39,483.03,515.76,539.35
820.97,557.4,50.03,27.9,25.54,13.59,33.12,57.36,31.67,16.5,62.3,38.17,31.6,26.9,339.24,315.83,322.91,203.95,208.18,240.14,377.31,383.66,390.63
821.11,559.48,20.83,14.75,19.77,3.7,16.59,16.61,20.53,0.28,44.31,24.89,36.32,25.16,224.06,186.67,248.05,151.97,147.55,179.49,274.47,294.77,282.46
821.25,561.56,4.43,23.69,35.06,26.24,22.14,20.88,5.98,12.39,30.12,18.67,46.45,21.65,210.9,195.18,219.55,133.7,157.28,163.89,253.29,274.89,264.96
821.39,563.64,21.55,35.81,48.54,31.38,37.52,7.69,31.64,31.8,43.1,29.97,52.42,43,224.87,224.5,266.5,159.25,189.51,191.1,283.56,292.45,315.57
821.53,565.72,38.69,53.24,71.31,51.93,40.52,33.7,53.4,49.97,46.77,49.22,53.67,59.46,292.42,292.06,305.04,200.73,230.66,214.57,373.72,341.9,353.73
821.67,567.8,37.67,38.26,53.2,36.97,34.97,26.01,47.42,40.18,22.23,41.97,33.49,54.26,226.54,233.86,250.82,173.48,198.08,184.64,345.78,275.9,305.46
821.81,569.87,25.11,27.04,44.34,39.08,27.99,46.39,21.76,42.12,21.86,26.15,32.45,25.25,152.35,159.68,148.95,121.27,144.22,96.76,223.17,188.58,194.19
821.95,571.95,7.98,26.79,15.1,30.48,10.63,33.08,15,23.94,18.79,0,18.7,16.53,57.27,62.75,48,46.77,68.4,41.81,78.79,69.6,87.24
822.09,574.02,23.19,26.79,18.44,30.27,10.63,52.55,20.5,41.91,36.22,9.45,30.75,22.68,31.37,32.62,21.12,25.21,23.66,11.22,14.94,28.18,27.5
822.23,576.09,15.21,17.18,3.35,38.13,0.14,44.04,20.5,30.95,18.03,22.95,12.05,34.1,0,4.7,0.11,7.87,0,10.39,8.67,0,0
822.37,578.17,15.21,0,3.35,26.62,0,31.34,5.5,30.95,25.39,22.95,12.05,26.36,0,0,0,7.87,0,0,0,0,0
822.51,580.24,0,0,0,19.23,0,11.87,0,10.38,7.96,13.5,0,20.2,0,0,0,0,0,0,0,0,0
822.65,582.31,0,0,0,0.43,0,0,0,0,7.96,0,0,0,0,0,0,0,0,0,0,0,0
822.79,584.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
822.93,586.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823.07,588.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823.21,590.58,0,0,0,0,9.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
823.35,592.64,0,6.17,21.99,0,18.79,1.76,8.53,0.89,0,0,0,12.63,0,0,0,0,0,0,0,0,0
823.49,594.71,0,6.17,57.99,17.52,27.88,11.92,23.21,14.6,22.99,37.57,13.8,36.64,22.32,28.91,37.25,25.11,15.49,9.91,10.37,30.77,16.6
823.63,596.77,23.92,14.12,67.76,32.22,38.71,14.57,50.49,33.22,64.91,58.96,29.07,68.48,87.11,81.3,112.95,77.55,75.97,53.47,93.77,101.56,85.9
823.77,598.83,39.72,24.11,69.74,63.86,56.5,25.73,63.58,54.97,76.85,61.94,66.25,78.28,148.78,164.91,189.55,141.41,103.21,99.45,159.28,172.44,186.64
823.91,600.89,43.15,39.25,33.74,46.33,47.41,15.57,48.9,54.35,53.86,57.02,74.99,54.26,184.12,212.92,218.21,163.33,112.15,156.69,248.62,264.08,279.31
824.05,602.95,27.06,35.85,43.99,51.12,27.16,12.92,47.6,64.36,30.89,44.74,67.68,34.66,156.39,202.86,206.8,138.86,97.7,152.22,253.22,228.31,248.24
824.19,605.01,11.26,19.69,20.02,19.48,0,0,25.97,41.72,18.95,41.77,32.35,12.23,110.59,119.25,130.2,75.01,75.21,106.24,200.41,180.12,189.09
824.33,607.07,30.01,17.12,31.71,19.48,0,0,35.58,28.63,18.95,28.98,38.54,36.24,118.96,83.29,129.56,70,86.89,78.56,185.07,142.08,143.76
824.47,609.13,51.05,39.53,51.76,27.05,23.8,56.61,34.74,38.77,28.12,40.16,57.37,73.76,255.93,179.94,219.85,149.61,139.86,149.5,280,283.64,280.35
824.61,611.18,71.3,75.19,71.53,39.87,53.68,81.3,52.06,67.39,70.08,83.2,92.38,122.26,408.06,333.23,381.09,276.74,238.33,273.73,453.08,457.01,447.09
824.75,613.24,90.96,102.21,79.52,65.32,53.68,97.95,73.49,88.39,113.11,98.99,112.15,133.06,520.57,466.09,484.93,395.26,326.21,359.24,576.52,586.76,583.2
824.89,615.29,81.36,106.31,77.26,49.91,37.87,54.5,72.01,77.21,104.3,114.86,126.66,110.94,500.48,480.33,499.15,392.18,328.15,357.48,570.68,594.88,610.35
825.03,617.35,84.74,94.72,76.97,55.12,18.69,38.02,82.5,53.67,73.12,93.38,118.81,103.45,469.32,441.52,451.65,366.72,305.38,331.01,536.44,555.27,577.11
825.17,619.4,48.76,77.77,68.99,43.64,49.32,36.83,58.96,52.44,68.58,94.19,101.94,74.27,400.11,370.98,392.77,284.22,254.91,278.84,450.13,463.92,486.79
825.31,621.45,43.76,76.46,55.32,54.13,87.75,25.95,42.06,36.51,58.01,75.32,91.7,82.06,317.52,300.73,300.83,249.01,207.06,220.62,361.75,355.17,385.74
825.45,623.5,20.13,52.39,35.84,36.1,77.05,17.75,14.26,31.44,47.22,53.77,63.54,44.94,180.66,186.25,187.08,147.34,133.27,125.14,218.09,204.14,213.08
825.59,625.55,29.3,29.75,24.14,22.13,46.42,2.28,6.75,11.67,11.48,17.29,31.94,39.32,71.33,82.96,76.88,69.3,59.77,52.33,96.57,82.83,103.34
825.73,627.6,15.02,20.59,0,0,0,4.53,0,0,11.72,0,1.17,18.58,14.47,0,0,14.52,6.67,11.55,31.23,6.89,2.66
825.87,629.64,43.06,26.48,16.23,12.08,8.31,10.39,21.09,10.64,24.45,21.22,6.27,19.71,53.43,59.6,32.16,55.13,33.44,50.95,76.72,51.01,73.48
826.01,631.69,50.49,31.77,20.52,42.27,22.38,20.67,37.72,25.8,24.97,22.88,15.33,40.83,131.31,130.46,91.9,91.92,69.41,119.14,165.17,102.52,154.13
826.15,633.73,60.32,36.87,36.19,48.23,42.19,28.5,40.22,29.49,25.46,59.97,33.15,47.35,192.63,225.56,178.21,135.03,128.56,155.91,254.65,210.21,238.61
826.29,635.78,36.14,32.73,23.35,36.14,50.1,22.65,20.47,27.37,22.37,57.25,41.73,47.29,236.02,249.95,231.59,151.22,143.78,164.75,314.86,297.05,263.48
826.43,637.82,71.95,64.57,68.14,33.07,90.98,57.21,46.7,61.24,68.93,115.84,109.29,67.87,314.03,318.97,356.25,242.7,213.62,203.22,426.35,438.84,365.96
826.57,639.86,108.84,79.83,60.69,75.42,125.62,79.19,65.01,80.85,103.9,102.19,125.93,86.87,401.77,395.38,423.99,313.6,288.54,313.44,527.56,536.35,496.17
826.7,641.9,160.93,135.96,96.44,106.01,153.78,97.14,86.2,118.67,117.41,121.4,160.44,122.74,478.36,480.98,503.23,367.01,370.99,397.18,597.28,599.37,608.54
826.84,643.94,111.56,134.95,64.73,92.42,117.48,73.51,64.24,92.68,77.78,103.82,102.48,106.47,434.8,461.42,459.66,346.95,355.95,373.11,541.5,564.89,594.43
826.98,645.98,88.61,100.37,74.77,65.92,78.6,51.98,45.71,89.12,37.57,92.32,81.94,78.63,315.97,327.6,344.82,283.3,264.67,247.45,380.11,418.48,453.37
827.12,648.02,32.64,42.5,35.63,35.33,34.22,34.02,23.19,42.78,14.42,54.6,32.89,37.8,157.03,158.01,180.04,173.09,133.57,113.19,196.83,219.06,242.89
827.26,650.06,23.77,13.1,18.85,26.67,15.57,12.81,2.28,19.74,4.23,11.94,14.24,12.37,44.71,37.7,39.21,64.88,42.79,30.59,52.68,58.79,73.87
827.4,652.09,0,6.73,0.59,4.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
827.54,654.13,0,6.73,3.7,4.87,16.85,0,0,5.11,3.63,0,0,0,0,0,0,0,0,0,0,0,0
827.68,656.16,11.72,1.05,14.31,25.92,20.14,4.53,4.59,5.11,16.48,12.75,0,4.48,0,0,0,0,0,0,0,0,0
827.82,658.2,11.72,1.05,14.31,32.73,33.31,17.95,4.59,5.11,16.48,13.06,0,4.48,0,0,0,0,0,0,0,0,0
827.96,660.23,22.37,1.05,11.19,32.73,16.46,17.95,4.59,0,12.85,19.82,0,4.48,0,0,0,0,0,0,0,0,0
