WP-00790,,PE0.05ppm-1,PE0.05ppm-2,PE0.05ppm-3,PE0.1ppm-1,PE0.1ppm-2,PE0.1ppm-3,PE0.5ppm-1,PE0.5ppm-2,PE0.5ppm-3,PE1ppm-1,PE1ppm-2,PE1ppm-3,PE5ppm-1,PE5ppm-2,PE5ppm-3,PE10ppm-1,PE10ppm-2,PE10ppm-3,PE50ppm-1,PE50ppm-2,PE50ppm-3,PE100ppm-1,PE100ppm-2,PE100ppm-3,PE200ppm-1,PE200ppm-2,PE200ppm-3
Wavelength,Wavenumber,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed
814.78,464.83,317.22,326.67,334.96,285.52,290.94,247.82,245.8,212.37,218.24,373.14,357.05,359.7,281.78,277.65,272.28,847.91,807.61,724.18,294.32,273.9,226.99,66.78,104.9,94.97,258.3,0,0
814.92,466.95,336.56,329.61,337.93,278.91,272.35,269.85,259.07,238.42,228.94,350.86,335.77,334.61,281.23,279.71,269.29,788.57,782.22,688.71,311.84,250.37,243,49.48,90.21,66.3,233.37,0,0
815.06,469.08,351.97,327.29,312.63,259.04,267.51,263.96,258.4,248.86,238.37,334.63,308.21,320.91,297.07,258.82,277.7,740.56,701.15,641.58,288.4,244.56,213.05,24.23,81.88,50.59,190.76,0,0
815.2,471.2,337.99,318.58,296.28,212.8,231.3,241.69,237.34,249.25,207.08,283.03,267.94,281.82,255.86,230.21,240.39,632.76,603.62,560.33,265.23,237.35,204.7,17.56,48.36,10.06,164.71,0,0
815.34,473.32,303.74,290.27,280.66,187.29,219.51,205.16,232.01,224.03,190.51,244.82,246.4,253.47,235.69,178.32,227.79,554.96,503.1,484.42,224.77,200.53,178.08,9.52,24.54,10.06,106.31,0,0
815.48,475.45,260.78,251.24,241.66,163.75,176.68,176.6,187.96,172.77,169.22,176.57,199.82,211.74,175.47,141.05,163.81,456.04,396.46,380.06,189.91,180.65,144.39,5.84,0,0,82.47,0,0
815.62,477.57,213.89,231.95,207.39,163.95,173.93,188.1,180.31,155.22,157,161.05,196.96,193.75,160.64,124.83,140.89,364.45,318.48,332.04,160.76,158.83,128.09,0,0,0,64.28,0,0
815.76,479.69,183.05,212.73,181.85,152.89,162.6,176.68,139.71,137.41,131.84,144.26,175.17,178.15,137.87,103.33,104.02,280.19,236.5,247.35,109,160.06,121.85,0,0,0,60.1,0,0
815.91,481.8,160.73,201.68,153.15,132.35,149.46,148.45,128.96,121.77,109.85,134.64,157.88,144.39,94.59,73.67,80.65,188.71,162.96,188.45,70.72,109.78,99.76,0,0,0,32.44,0,0
816.05,483.92,165.36,164.58,126.08,121.1,141.62,128.18,108.5,104.07,96.81,117.98,120.88,123.59,45.89,31.03,43.9,134.45,104.98,121.11,65.72,60.24,96.96,0,0,0,17.32,0,0
816.19,486.04,140.5,138.33,107.51,106.71,116.63,110.09,114.2,95.89,78.28,105.83,103.73,99.96,5.06,7.62,8.94,71.97,70.44,89.88,71.54,37.74,72.32,0,0,0,0,0,0
816.33,488.15,120.16,101.59,103.46,103.17,115.18,109.19,119.42,104.88,79.92,98.53,101.42,104.85,0,0,4.78,42.51,53.02,67.11,66.85,27.74,78.84,0,0,0,0,0,0
816.47,490.27,88.43,98.8,93.36,89.59,90.03,96.92,99.25,92.15,90.18,70.51,86.06,90.69,0,0,0,14.7,31.82,47.9,46.77,43.91,62.64,0,0,0,0,0,0
816.61,492.38,83.66,83.98,82.22,82.65,81.84,92.61,80.71,73.71,78.06,54.45,62.32,77.15,0,0,0,16.45,28.52,25.25,29.63,20.13,45.39,0,0,0,0,11.84,0
816.75,494.49,68.96,80.22,77.48,62.12,67.41,85.71,58.56,55.33,68.34,49.46,54.99,64.69,0,0,0,16.45,19.31,10.68,23.78,19.45,33.19,0,0,0,0,38.67,0
816.89,496.61,47.99,57.86,58.81,38.79,54.05,62.56,42.81,45.02,42.68,41.63,48.05,52.62,0,0,0,12.93,18.68,1.14,7.34,11.46,10.94,0,0,0,0,81.04,0
817.03,498.72,35.08,59.9,33.2,17.4,41.12,38.48,27.46,38.77,39.09,32.44,45.18,36.95,0,0,0,0,0,0,0,8.17,6.86,0,18.67,3.17,0,122.75,0
817.17,500.83,30.36,57.79,23.78,34.55,53.04,29.26,21.62,37.04,43.68,24.1,36.83,26.14,10.59,8.01,17.11,0,0,0,25.95,18.37,2.69,0,35.8,53.9,2.78,157.63,0
817.31,502.93,31.48,41.82,19.26,41.08,45.49,26.89,19.96,31.81,35.86,24.1,26.65,14.16,10.59,8.01,17.11,0,0,0,25.95,10.2,2.69,0,35.8,61.7,2.78,142.33,0
817.46,505.04,25.9,19.85,14.97,37.38,51.91,35.82,33.59,30.2,23.19,14.32,22.43,17.48,10.59,8.01,17.11,0,0,0,25.95,10.2,0,0,17.13,58.53,2.78,88.78,0
817.6,507.15,13.14,5.52,0.42,11.65,19.6,24.82,26.62,13.34,0,0,11.27,6.94,0,0,0,0,0,0,0,0,0,0,0,7.8,0,27.07,0
817.74,509.25,26.47,5.52,0.42,26.88,25.63,22.01,41.49,21.98,26.21,3.77,14.3,13.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
817.88,511.36,32.65,9.31,11.56,29.63,25.86,26.07,26.55,23.46,41.07,6.89,16.84,8.59,0,13.12,0,0,0,0.53,0,0,0,0,0,0,0,0,0
818.02,513.46,36.58,17.04,18.22,41.02,49.77,42.99,33.78,24.12,55.7,16.14,22.89,26.45,1.95,23.74,6.99,0,0,2.78,0,0,0,0,0,0,0,0,0
818.16,515.56,19.09,17.04,18.22,19.25,42.02,37.66,22.08,14.22,29.5,12.37,19.87,19.31,1.95,23.74,6.99,0,0,2.78,0,0,0,0,0,0,0,0,0
818.3,517.66,9.7,7.73,6.66,11.39,23.91,26.18,13.97,0.66,14.63,9.25,11.16,17.86,4.56,14.54,6.99,0,0,2.25,0,0,0,0,0,0,0,0,0
818.44,519.76,5.77,0,0,0,0,10.21,3.79,0,0,0,0,0,2.61,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0
818.58,521.86,5.77,0,0,0,0,10.21,0,0,0,0,0,0.03,2.61,3.92,0,0,0,0,0,0,0,0,0,0,0,0,0
818.72,523.96,0,0,0,9.2,6.1,11.63,0,10.26,2.88,0,2.53,5.06,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
818.86,526.06,0,0,0,9.2,13.39,10.67,0,16.65,5.56,0,2.53,5.06,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
819,528.16,0.19,0,0,9.2,14.2,10.67,3.8,16.65,8.01,0,2.53,5.03,6.34,0,0,0,0,0,1.25,2,0,0,0,0,0,0,0
819.14,530.25,0.19,0,3.95,0,8.1,11.33,8.34,10.65,5.12,0,8.92,0,6.34,0,6.37,0,0,0,1.29,0,0,0,0,0,0,0,0
819.28,532.35,0.19,0,3.95,0,0.81,11.33,12.61,14.27,2.45,0,8.92,0,6.34,0,6.37,0,0,0,1.29,0,0,0,0,0,0,0,0
819.42,534.44,0,0,3.95,0,8.19,11.33,25,21.24,9.59,4.16,8.92,14.67,0,0,6.37,0,0,0,0.04,0.19,0,0,0,0,0,0,0
819.57,536.53,7.12,0,0,0,15.87,9.8,32.01,34.68,14.9,15.75,0,14.67,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0
819.71,538.62,7.12,0,0,0,24.79,25.88,27.75,24.67,28.7,15.75,0,14.67,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0
819.85,540.71,7.12,0,0,0.76,16.6,25.88,17.81,17.7,23.83,11.59,0,0,0,0,0,0,0,0,0,5.19,0,0,0,0,0,0,0
