WP-00790,,PMMA0.1ppm,PMMA0.5ppm,PMMA1ppm,PMMA5ppm,PMMA10pmm,PMMA50ppm,PMMA100ppm,PMMA200ppm
Wavelength,Wavenumber,Processed,Processed,Processed,Processed,Processed,Processed,Processed,Processed
845.99,917.66,161.27,84.1,253.89,0,0,0,37.14,0
846.13,919.55,172.43,99.88,283.19,0,0,0,18.64,0
846.26,921.45,149.63,116.96,274.49,0,0,0,11.81,0
846.4,923.35,100.65,116.79,275.24,0,0,0,15.15,0
846.53,925.24,53.6,105.82,247.55,0,0,0,26.03,0
846.67,927.14,48.03,137.26,249.98,0,0,0,14.22,0
846.81,929.03,97.85,132.69,209.75,0,0,0,12.65,0
846.94,930.92,115.6,130.31,149.09,0,0,0,1.77,0
847.08,932.81,102.17,93.02,103.88,0,0,0,7.16,0
847.21,934.7,37.67,97.27,85.25,0,0,0,5.39,0
847.35,936.59,57.88,101.16,55.29,0,0,0,32.44,0
847.48,938.48,62.81,92.37,51.34,0,0,0,51.95,0
847.62,940.37,56.97,61,19.03,0,0,0,56.5,0
847.75,942.25,17.66,43.17,38.45,0,0,0,44.43,0
847.89,944.14,13.17,62.43,34.01,0,0,0,32.85,0
848.03,946.02,51.77,99.46,48.2,0,0,0,44.42,0
848.16,947.91,57.6,76.61,32.35,0,0,0,29.43,0
848.3,949.79,51.37,64.93,60.08,0,0,0,33.75,0
848.43,951.67,22.97,38.69,74.28,0,0,0,32.22,0
848.57,953.55,58.73,64.18,106.28,0,0,0,33.21,0
848.7,955.43,52.19,60.02,90.97,0,0,0,15.57,0
848.84,957.31,48.49,111.29,78.14,13.32,0,0,23.72,8.33
848.97,959.18,6.5,116.89,60,21.74,0,0,25.24,42.5
849.11,961.06,31.58,108.81,42.55,21.74,0,0,29.43,76.78
849.24,962.94,48.59,66.94,45.36,8.42,0,0,6.7,111.9
849.38,964.81,48.59,39.39,27.92,0,0,0,4.19,126.16
849.51,966.68,32.48,30.41,18.36,0,0,0,0,91.87
849.65,968.55,12.09,3.54,0,0,0,0,0,48.43
849.78,970.43,12.09,0,0,0,0,0,0,0
849.92,972.3,3.12,0,0,0,0,0,0,0
850.05,974.16,17.22,0,0,0,0,0,0,17.54
850.19,976.03,21.43,0,0,0,0,0,0,70.7
850.32,977.9,21.43,0,0,0,0,18.94,0,130.97
850.46,979.76,4.21,0,0,0,0,70.27,5.91,218.96
850.59,981.63,0,0,0,0,0,147.17,8.43,280.77
850.73,983.49,25.93,0,0,0,0,181.32,29.14,337.18
850.86,985.36,25.93,0,0,0,0,238.44,26.26,363.51
851,987.22,40.29,0,0,0,0,263.99,32.31,369.55
851.13,989.08,25.49,0,0,0,0,339.84,11.59,369.19
851.27,990.94,25.49,0,0,0,0,367.78,9.39,367.2
851.4,992.8,28.59,0,0,0,0,391.15,0.82,360.59
851.54,994.66,20.08,0,0,20.63,0,379.38,27.84,400.79
851.67,996.51,39.02,0,0,42.89,0,390.04,53.55,414.37
851.81,998.37,49.85,0,0,42.89,0,425.56,77.61,433.78
851.94,1000.22,47.22,0,0,26.92,0,470.4,56.51,423.44
852.08,1002.08,28.28,0,0,4.66,0,495.55,49.58,416.38
852.21,1003.93,0,0,0,4.66,0,500.35,66.46,408.91
852.34,1005.78,8.91,0,0,0,0,524.57,69.27,396.49
852.48,1007.63,8.91,0,0,0,0,497.11,51.91,415.67
852.61,1009.48,8.91,0,0,0,0,472.64,10.97,377.44
852.75,1011.33,0,0,0,0,0,447.37,10.81,348.38
852.88,1013.18,0,0,0,0,0,442.3,16.69,295.14
853.02,1015.03,0,0,0,0,0,466.55,16.69,325.5
853.15,1016.87,0,0,0,0,0,479.24,12.32,333.24
853.29,1018.72,0,0,0,0,0,467.9,4.21,320.58
853.42,1020.56,0,0,0,0,0,411.89,4.21,263.52
853.55,1022.4,0,0,0,0,0,321.74,0,212.29
853.69,1024.24,0,0,0,0,0,239.15,0,122.62
853.82,1026.08,0,0,0,0,0,165.98,0,61.2
853.96,1027.92,0,0,0,0,0,82.47,0,0
854.09,1029.76,0,0,0,0,0,36.72,0,0
854.22,1031.6,0,0,0,0,0,0,0,0
854.36,1033.44,0,0,0,0,0,0,0,0
854.49,1035.27,0,0,0,0,0,85.88,0,22.34
854.63,1037.11,0,0,0,0,0,192.48,0,63.78
854.76,1038.94,0,0,0,0,0,321.22,0,156.38
854.89,1040.77,0,0,0,0,0,381.06,0,239.3
855.03,1042.6,0,0,0,0,0,414.56,5.81,326.16
855.16,1044.43,0,0,0,0,0,502.94,5.81,365.18
855.3,1046.26,0,0,0,0,0,557.42,5.81,374.58
855.43,1048.09,0,0,0,0,0,600.78,0,358.81
855.56,1049.92,0,0,0,0,0,599.34,0,407.21
855.7,1051.75,0,0,0,0,0,612.24,3.63,454.54
855.83,1053.57,0,0,0,0,0,645.12,3.63,504.14
855.96,1055.4,0,0,0,0,0,654.32,14.21,497.02
856.1,1057.22,0,0,0,0,0,655.19,15.7,534.5
856.23,1059.04,0,0,0,0,0,671.37,30.17,560.92
856.37,1060.86,0,0,0,0,0,698.44,19.59,581.84
856.5,1062.68,0,0,0,0,0,716.16,31.44,564.03
856.63,1064.5,0,0,0,0,0,741.21,32.44,568.83
856.77,1066.32,0,0,0,0,0,732.47,46.75,540.78
856.9,1068.14,0,0,0,0,0,718.06,38.28,531.35
857.03,1069.96,0,0,0,0,0,668.52,22.81,503.08
857.17,1071.77,0,0,0,0,0,689.64,15.21,502.41
857.3,1073.58,0,0,0,0,0,719.76,33.09,487.68
857.43,1075.4,0,0,0,0,0,777.97,35.62,485.67
857.57,1077.21,0,0,0,0,0,757.96,42.36,519.38
857.7,1079.02,0,0,0,0,0,770.04,24.38,533.48
857.83,1080.83,0,0,0,0,0,798.79,51.54,555.51
857.97,1082.64,0,0,0,0,0,831.19,41.86,563.15
858.1,1084.45,0,0,0,0,0,823.69,33.47,560.17
858.23,1086.26,0,0,0,0,0,801.3,3.77,564.91
858.36,1088.06,0,0,0,0,0,808.12,1,533.15
858.5,1089.87,0,0,0,0,0,815.49,1,554.88
858.63,1091.67,0,0,0,0,0,834.07,11.52,577.77
858.76,1093.48,0,0,0,0,0,865.08,42.43,604.05
858.9,1095.28,0,0,0,0,0,893.75,57.08,611.27
859.03,1097.08,0,0,0,0,0,858.64,78.52,561.31
859.16,1098.88,0,0,0,0,0,826.84,57.45,552.63
859.3,1100.68,0,0,0,0,0,785.38,67.53,531.88
