wavenumber,PS 0.1ppm-1,PS 0.1ppm-2,PS 0.1ppm-3,PS 0.5ppm-1,PS 0.5ppm-2,PS 0.5ppm-3,PS 1.0ppm-1,PS 1.0ppm-2,PS 1.0ppm-3,PS 5ppm-1,PS 5ppm-2,PS 5ppm-3,PS 10ppm-1,PS 10ppm-2,PS 10ppm-3,PS 50ppm-1,PS 50ppm-2,PS 50ppm-3,PS 100ppm-1,PS 100ppm-2,PS 100ppm-3,PS 200ppm-1,PS 200ppm-2,PS 200ppm-3
479.69,0,26.28,3.78,10.91,0,0,0,22.49,35.71,0,0,0,33.66,36.46,61.63,0,0,0,0,0,0,0,0,0
481.8,15.2,26.28,20.39,10.91,0,0,0,22.49,35.71,0,0,0,18.68,0,6.16,0,0,0,0,0,0,0,0,0
483.92,20.62,51.48,20.39,10.91,0,0,0,5.54,6.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486.04,20.62,29.81,22.7,15.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488.15,5.41,50.64,15.13,15.59,0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490.27,24.79,41.35,38.23,40.53,0,59.79,0,1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
492.38,34.02,43.75,32.15,43.92,4,69.41,1.78,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
494.49,44.77,22.92,23.1,43.92,12.95,60.81,1.78,9.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
496.61,19.99,2.41,0,18.98,12.95,9.62,1.78,8.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
498.72,13.39,0,1.47,0,8.95,0,0,0,3.83,10.39,0,0,0,0,0,3.41,0,10.89,0,0,0,1.5,0,0
500.83,47.94,36.57,6.4,0,29.92,40.02,14.81,24.89,32.18,36.04,26.03,27.46,0,0,29.35,50.21,60.68,86.76,8.09,22.91,13.28,62.61,57.68,64.59
502.93,52.8,39.11,6.4,8.15,30.35,44.11,19.36,24.89,33.59,36.04,26.03,27.46,0,0,29.35,50.21,67.51,120.09,8.09,22.91,13.28,62.61,73.17,64.59
505.04,50.17,51.93,15.5,8.15,30.35,52.87,19.36,24.89,29.76,25.64,26.03,27.46,0,0,29.35,46.8,67.51,109.2,8.09,22.91,13.28,61.11,73.17,64.59
507.15,4.86,15.37,10.57,8.15,0.43,12.84,4.55,0,1.41,0,0,0,0,0,0,0,6.83,33.34,0,0,0,0,15.49,0
