wavenumber,PLA 5ppm-1,PLA 5ppm-2,PLA 5ppm-3,PLA 10ppm-1,PLA 10ppm-2,PLA 10ppm-3,PLA 50ppm-1,PLA 50ppm-2,PLA 50ppm-3,PLA100ppm-3,PLA100ppm-2,PLA100ppm-1,PLA 200ppm-1,PLA 200ppm-2,PLA 200ppm-3,PLA 300ppm-1,PLA 300ppm-2,PLA 300ppm-3,PLA 400ppm-1,PLA 400ppm-2,PLA 400ppm-3,PLA 500ppm-1,PLA 500ppm-2,PLA 500ppm-3,PLA600ppm-3,PLA600ppm-2,PLA600ppm-1
1603.83,74.15,71.05,79.47,205.2,206.84,184.88,273.49,253.49,202.92,100.57,87.62,115.31,138.23,170.87,117.05,134.02,128.18,130.86,27.93,47.96,50.23,7.42,15.02,15.67,99.57,77.64,92.79
1605.32,49.43,71.67,86.07,194.49,174.7,193.12,254.67,223.85,201.6,100.52,68.84,106.48,107.19,146.12,100.03,103.66,135.82,119.45,16.51,56.71,42.57,8.37,1.11,3.04,74.58,77.93,116.92
1606.8,31.92,65.85,68.56,172.34,140.13,177.25,190.08,181.79,179.52,77.69,61.28,93.88,87.72,108.94,86.92,80.87,107.7,110.61,6.17,41.35,22.01,0.95,1.11,0,41.83,66.45,97.94
1608.29,35.29,44.13,60.82,153.63,136.35,162.16,161.62,152.85,173.57,79.64,59.16,80.4,76.7,53.42,71.65,60.2,59.03,99.89,4.34,32.19,19.67,0.95,1.11,0,26.71,54.75,86.09
1609.78,66.99,50.52,80.18,150.71,149.67,146.52,134.62,119.7,140.07,72.04,74.16,63.7,75.81,36.48,70.79,60.32,44.82,60.62,18.09,33.06,20.46,0,0,0,22.86,59.84,54.35
1611.27,65.14,48.69,75.99,139.24,124.12,125,80.41,87.01,97.04,39.87,47.94,62.77,42.06,15.89,24.74,24.95,31.39,31.82,13.75,20.37,20.49,0,0,0,27.13,44.96,35.74
1612.75,96.73,56.29,73.24,118.22,115.68,110.26,59.67,58.78,92.46,38.5,43.84,41.06,30.09,15.89,24.74,26.98,29.76,23.8,13.75,20.37,20.49,0,0,0,27.13,40.42,17.57
1614.23,61.87,35.45,41.03,83.76,62.46,77.07,21.12,24.26,74.79,22.35,22.63,35.14,0,0,0,5.39,4.55,10.23,0,4.02,0.02,0,0,0,11.41,0,11.59
1615.72,49.34,22.94,30.83,59.3,59.25,58.56,19.61,15.48,55.47,22.35,25.08,6.97,0,0,0,5.39,1.67,0,0,5.01,0,0,0,0,3.34,0,2.66
1617.2,23.14,12.79,24.62,59.85,51.04,45.06,0,0,22.09,10.54,14.87,16.62,0,0,0,0,0,0,0,6.34,0,0,0,0,3.34,0,0
1618.68,21.38,3.1,22.51,45.84,69.62,33.66,15.01,10.69,8.68,1.65,7.44,19.49,0,0,0,0,0,0,0,2.96,0,0,0,0,0,0,0
1620.16,31.95,6.02,36.73,33.84,60.19,19.27,15.01,10.69,0.84,6.5,8.68,19.49,0,0,0,0,0,0,0,1.33,0,0,0,0,0,0,0
1621.64,25.73,23.13,55.84,27.06,48,31.44,15.01,10.69,5.96,6.7,6.68,28.25,0,0,0,0,0,0,2.39,0,0,0,0,0,0,0,0
1623.12,17.01,25.87,45.86,15.15,24.14,20.83,0,0,5.96,6.7,6.16,20.01,0,0,0,0,0,0,2.39,0,0,0,0,0,0,0,0
1624.59,19.12,49.67,57.29,34.38,39.61,46.34,0,0,5.12,8.57,0.63,33.23,0,0,0,0,0,0,18.52,2.06,13.87,10.45,10.04,0.76,0,0,0
1626.07,16.58,39.57,33.49,23.47,33.31,25.77,0,0,0,6.72,0.63,14.81,0,0,0,0,0,0,16.13,2.06,13.87,10.45,10.04,0.76,0,0,0
1627.54,16.58,36.83,33.49,23.47,26.81,25.77,0,0,0,6.72,0.63,13.22,0,0,0,0,0,0,16.13,2.06,13.87,10.45,10.04,0.76,0,0,0
1629.02,10.9,12.16,11.46,0,0.18,18.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1630.49,10.9,18.16,21.1,0,0.78,26.78,0,0,0,0,0,0.95,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0
1631.96,13.48,22.68,30.23,0,0.78,26.78,0,0,0,0,0,0.95,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0
1633.43,7.79,17.53,26.85,0,0.6,15.19,0,0,0,0,0,0.95,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0
1634.9,7.79,6.29,23.25,0,0,13.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1636.37,7.75,1.77,14.11,0,0,13.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1637.84,10.93,20.78,10.03,0,0,6.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1639.31,15.26,31.3,5.52,0,7.36,0.43,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0
1640.77,14.54,33.43,5.52,0,7.36,0.43,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0
1642.24,24.26,38.17,5.52,0,8.34,0.43,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0
1643.7,19.93,25.88,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1645.17,21.75,24.05,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1646.63,3.65,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1648.09,3.65,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1649.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
