wavenumber,PMMA10ppm-1,PMMA10ppm-2,PMMA10ppm-3,PMMA50ppm-1,PMMA50ppm-2,PMMA50ppm-3,PMMA100ppm-1,PMMA100ppm-2,PMMA100ppm-3,PMMA200ppm-1,PMMA200ppm-2,PMMA200ppm-3
694.61,11.34,5.85,0,7.24,11.17,12.93,84.55,128.2,80.1,1.96,1.97,6.64
696.63,6.07,0.11,0.07,0,0,2.17,61.11,93.39,70.67,1.96,1.97,0
698.64,6.07,19.89,5.17,0,17.67,4.72,96.45,93.58,46.9,2.65,3.62,5.18
700.65,17.79,35.81,10.29,21.69,31.04,13.84,97.7,126.45,53.14,2.65,1.65,5.18
702.66,35.73,46.98,29.6,45.95,45.67,22.91,134.53,155.2,97.27,9.29,7.5,5.18
704.67,41.11,38.18,40.12,67.43,47.54,18.19,139.26,155.17,132.62,9.36,16.57,0
706.68,24.53,22.26,34.99,62.79,46.61,12.36,114.9,124.7,152.53,9.36,16.57,0
708.69,10.34,24.45,26.83,63.91,33.79,9.97,98,126.68,112.88,29.39,10.72,0
710.69,13.14,13.36,11.22,42.43,16.3,10.58,82.78,99.99,93.91,39.41,0,0
712.7,31.1,19.43,34.47,25.38,23.01,11.39,95.46,107.19,101.49,39.41,0,0
714.7,26.15,12.93,24.29,15.14,21.21,4.71,70.94,99.17,114.85,17.38,0,0
716.71,18.82,18.26,41.46,15.14,19.17,15.51,97.66,135.71,133.77,23.56,0,0
718.71,0.86,18.08,18.21,15.14,0,15.4,78.5,145.36,159.81,23.56,0,0
720.71,7.38,13.57,17.17,7.2,20.41,29.55,91.69,150.68,172.84,23.82,17.8,10.55
722.71,6.52,20.39,10.31,21.49,38.94,22.76,92.23,135.67,186.89,4.9,17.8,10.55
724.71,24.04,22.86,39.51,43.98,53.35,43.3,165.12,172,222.93,61.42,57.12,35.2
726.71,36.58,40.45,57.6,60.47,64.89,44.61,178.81,214.44,246.42,86.41,64.44,47.74
728.71,56.19,37.47,59.61,58.72,63.55,50.69,186.95,255.33,225.36,90.98,81.04,68.59
730.7,47.16,40.82,50.29,59.97,59.52,36.77,175.45,286.23,175.64,43.71,55.45,56.88
