wavenumber,PS_PE 50ppm-1,PS_PE 50ppm-2,PS_PE 50ppm-3,PS_PE 100ppm-1,PS_PE 100ppm-2,PS_PE 100ppm-2,PS_PE 200ppm-1,PS_PE 200ppm-2,PS_PE 200ppm-3
829.24,525.82,558.14,799.16,692.93,628.94,630.21,406.95,366.15,366.72
831.18,515.93,561.95,770.99,730.75,666.04,688.52,443.51,399.01,376.78
833.13,515.7,550.09,732.16,707.4,604.3,663.98,427.77,407.25,401.55
835.07,486.47,592.89,656.98,678.2,631.39,623.27,418.41,401.86,405.03
837.01,487.91,571.03,636.14,649.16,654.65,569.06,410.43,420.52,400.56
838.95,464.68,558.83,569.28,588.29,658.73,579.02,366.82,375.56,375.45
840.89,470.78,529.3,554.43,604.91,650.31,600.81,349.93,349.63,379.73
842.83,451.99,522.87,516.01,625.8,590.84,602.88,317.19,300.2,346.82
844.77,482.43,513.68,533.81,655.08,610.76,650.34,304.06,305.04,298.52
846.71,513.21,550.15,600.62,666.19,610.19,669.31,349.64,327.93,285.92
848.64,577.76,623.4,640.53,670.92,670.23,738.91,383.71,384.97,352.82
850.58,622.22,685.22,708.67,770.04,801.34,845.56,437.05,406.62,453.99
852.51,658.34,727.7,698.81,852,871.29,889.73,437.11,445.65,495.54
854.44,675.13,732.86,722.61,946.47,922.75,1016.74,417.22,390.4,445.13
856.37,675.49,744.58,713.65,960,900.28,987.5,388.93,381.09,382.33
858.31,674.19,738.98,760.68,964.04,942.66,1029.76,393.7,351.82,352.92
860.24,653.01,709.82,764.17,957.37,920.67,1012.33,388.29,398.06,394.99
862.16,634.17,689.35,745.66,939.22,957.52,991.75,426.61,437.68,447.12
864.09,615.12,640.99,700.94,893.68,902.68,955.13,436.09,458.46,486.41
866.02,576.2,605.43,639.67,835.78,850.13,804.81,460.73,452.74,497.2
867.94,499.5,544.76,597.63,786.95,704.66,681.57,434.99,407.63,459.93
869.87,426.6,471.56,512.38,686.41,590.82,501.31,383.74,365.36,404.82
871.79,369.49,416.81,471.25,617.18,509.62,403.35,348.66,340.25,360.54
873.71,332.5,335.18,409.57,474.9,453.73,305.36,327.41,334.31,368.1
875.64,276.09,307.46,377.79,371.38,327.92,280.79,300.78,273.64,338.93
877.56,264.58,254.98,352.92,248.27,252.19,247.64,287.09,247.59,324.04
879.48,232.86,230.63,343.17,203.79,116.72,211.13,228.24,211.37,250.98
881.4,206.17,198.63,310.77,167.17,78.17,165.5,187.11,200.55,186.65
883.31,173.49,158.31,282.39,146.42,49.15,104.39,91.04,121.78,94.04
885.23,182.71,184.9,311.24,124.41,78.93,99.05,74.25,101.3,69.71
887.14,180.63,184.85,340.11,80.59,97.21,123.25,99.52,94.87,111.44
889.06,192.01,236.26,373.44,71.1,139.13,145.76,106.63,123.62,142.34
890.97,202.85,254.47,367.24,77.91,170.7,150.26,117.25,110.2,175.41
892.89,230.05,283.03,347.05,127.28,206.14,202.96,94.92,97.84,143.87
894.8,278.61,298.29,349.22,105.16,156.79,273.22,120.33,91.55,136.06
896.71,263.07,277.45,292.29,122.8,143.54,292.57,78.01,79.54,92.19
898.62,272.79,263.87,276.95,168.21,134.05,237.35,70.65,93.82,80.95
900.52,192.75,226.86,211.51,191.37,105,177.57,83.91,114.71,61.32
902.43,203.96,181.77,175.33,172.97,83.72,132.9,151.79,126.89,71.97
904.34,152.19,114.38,129.16,139.77,112.31,147.11,186.39,144.8,98.35
906.24,131.01,86.56,80.58,192,181.68,107.09,146.29,167.99,129.02
908.15,87.19,104.78,48.69,232.11,202.26,139.96,157.25,192.92,137.09
910.05,97.5,113.46,41.93,221.21,148.84,158.49,149.71,195.69,118.32
911.95,137.63,126.63,45.98,184.64,112.75,208.35,221.69,192.96,135.41
913.86,159.45,122.82,38.97,153.94,121.87,246.44,181.4,162.64,146.88
915.76,160.96,154.71,29.74,130.12,99.28,178.41,156.51,118.72,136.76
917.66,149.73,159.52,30.43,134.75,96.07,193.83,85.57,47.03,106.26
919.55,158.2,176.36,50.91,88.58,98.74,150.48,46.04,45.46,65.48
921.45,157.81,202.01,57.11,117.08,199.69,187.13,29.34,55.07,62.56
923.35,151.13,181.04,62.33,63.8,230.93,212.67,43.39,72.13,73.69
925.24,151.03,185.98,78.15,126.29,208.28,208.66,47.72,53.43,86.45
927.14,142.4,116.4,62.44,126.12,139.3,193.66,34.6,26.95,72.12
929.03,125.37,96.75,40.66,122.45,131.44,142.78,5.55,9.89,24.27
930.92,83.6,50.69,13.13,55.18,104.03,86.33,0,0,0
932.81,49.07,44.45,26.41,29.89,72.05,48.91,6.91,0,0
934.7,34.59,26.96,31.84,32.54,9.14,0.33,6.91,3.25,0
936.59,28.82,10.19,23.08,32.54,0,37.19,6.91,11.02,21.4
938.48,28.82,6.72,6.06,2.65,0,36.85,0,17.34,34.93
940.37,10.29,6.72,0,0,0,36.85,0.97,14.09,34.93
942.25,0,6.72,0,0,0,0,0.97,6.32,13.53
944.14,0,0,0,0,0,0,0.97,0,0
946.02,0,0,0,0,0,0,0,0,0
947.91,0,0,0,0,0,0,0,0,0
949.79,0,0,0,0,38.86,0,0,0,0
951.67,0,0,0,0,42.82,0,0,0,0
953.55,0,0,0,0,42.82,0,0,0,0
955.43,0,0,0,0,3.96,0,0,0,0
957.31,0,0,0,0,0,56.76,0,0,0
959.18,0,0,0,0,0,56.76,0,0,0
961.06,0,0,0,0,0,56.76,0,0,0
962.94,0,0,0,0,0,0,0,0,0
964.81,0,0,0,0,0,0,0,0,0
966.68,0,0,0,0,0,0,0,0,0
968.55,0,0,0,0,0,0,0,0,0
970.43,0,0,0,0,0,0,0,0,0
972.3,0,0,0,0,0,0,0,0,0
974.16,0,0,0,0,0,0,0,0,0
976.03,0,0,0,0,0,0,0,0,0
977.9,0,0,0,0,0,0,0,0,0
979.77,0,0,0,0,0,0,0,0,0
981.63,0,0,0,0,0,0,0,0,0
983.49,0,0,0,0,0,0,8.21,20.2,7.93
985.36,0,0,0,0,1.68,0,8.57,20.2,35.59
987.22,0,0,0,0,30.11,23.34,25.57,50.16,47.13
989.08,0,0,0,40.32,46.94,23.34,51.9,29.96,72.85
990.94,0,0,0,87.08,141.78,122.28,79.19,41.57,86.21
992.8,55.05,0,0,187.82,206.76,277.02,203.11,137.79,199.52
994.66,177.78,106.48,120.82,359.74,395.11,456.45,483.89,427.02,482.69
996.51,432.21,348.57,383.43,631.47,571.93,658.37,992.29,958.39,981.82
998.37,792.86,744.53,783.06,916.77,899,797.87,1650.77,1650.84,1664.03
1000.22,1113.57,1042.34,1090.36,1070.99,1084.66,1013.96,2180.66,2185.69,2203.64
1002.08,1220.34,1122.21,1165.71,1090.78,1119.57,1012.98,2351.96,2359.29,2359.66
1003.93,1002.6,890.25,962.23,886.6,909.84,856.37,2030.44,1972.07,1967.2
1005.78,625.48,495.23,593.37,592.89,584.26,551.9,1373.55,1364.48,1323.04
1007.63,264.28,173.27,255.41,254.61,289.04,252.03,749.85,716.75,664.72
1009.48,66.32,9.27,59.25,72.75,78.28,91.05,271.97,285.34,250.13
1011.33,0,0,0,0,13.03,0,83.66,68.84,37.86
1013.18,0,0,0,0,0,0,0,0,0
1015.03,0,0,0,0,0,0,0,0,0
1016.87,0,0,0,0,0,0,0,0,0
1018.72,0,0,0,0,0,0,0,0,0
1020.56,0,0,0,0,0,0,0,0,0
1022.4,0,0,0,0,0,0,0,0,0
1024.24,0,0,0,0,0,0,0,0,0
1026.08,0,0,0,0,0,0,0,0,0
1027.92,0,0,0,0,0,0,0,0,0
1029.76,0,0,0,0,0,0,0,0,0
1031.6,0,0,0,0,0,0,0,0,0
1033.44,0,0,0,0,0,0,0,0,0
1035.27,0,0,0,0,0,0,0,0,0
1037.11,0,0,0,0,0,0,0,0,0
1038.94,0,0,0,0,0,0,0,0,0
1040.77,0,0,0,0,0,0,0,0,0
1042.6,0,0,0,0,0,0,0,0,0
1044.43,0,0,0,0,0,0,0,0,0
1046.26,0,0,0,0,0,0,0,0,0
1048.09,0,0,0,0,0,0,0,0,0
1049.92,0,0,0,0,0,0,0,0,0
