wavenumber,PE 10ppm-1,PE 10ppm-2,PE 10ppm-3,PE 50ppm-1,PE 50ppm-2,PE 50ppm-3,PE 100ppm-1,PE 100ppm-2,PE 100ppm-3,PE 200ppm-1,PE 200ppm-2,PE 200ppm-3
600.89,32.32,5.01,10.91,51.35,37.85,52.01,47.63,60.59,90.3,64.86,87.55,64.15
602.95,23.61,38.9,10.91,44.45,28.31,52.81,61.14,43.83,86.23,93.42,104.58,115.94
605.01,16.19,44.4,0,41.96,5.45,41.1,47.56,30.15,63.54,91.46,93.74,111.19
607.07,16.19,55.6,0,17.07,20.02,40.08,54.25,37.91,33.33,53.19,114.19,89.67
609.13,28.08,23.62,38.14,23.9,48.52,51.93,48.49,82.87,57.99,79.1,150.46,121.93
611.18,36.57,16.8,87.38,49.17,71.19,91.47,71,127.27,92.46,166.69,194.33,215.09
613.24,58.96,62.57,136.57,97.92,92.44,106.07,83.31,149.97,137.86,256.97,250.59,322.92
615.29,81.55,105.26,145.27,112.25,81.44,125.75,95.05,122.77,134.68,306.65,309.22,352.08
617.35,114.85,162.65,121.34,128.12,97.32,115.31,86.99,131.11,133.05,332.84,364.67,368.01
619.4,125.53,160.74,97.78,102.2,75.4,98.4,78.8,105.31,97.28,324.86,337.94,354.72
621.45,84.13,116.13,90.8,92.7,64.58,74.93,71.04,107.28,91.94,280.61,307.9,331.75
623.5,42.34,55.05,65.49,51.56,26.04,45.83,56.59,54.55,59.1,190.52,181.77,239.88
625.55,15.58,0,42.79,28.73,12.14,24.03,26.42,34.08,40.86,138.49,132.57,189.99
627.6,15.07,0,31.02,0,0,10.62,0,0,0.58,122.5,96.72,148.09
629.64,41.13,0,44.75,8.73,11.14,16.01,7.51,6.59,6.32,148.44,184.37,221.73
631.69,73.58,69.46,76.92,19.9,23.72,42.83,34.15,33.65,25.86,236.31,234.67,262.23
633.73,135.27,133.97,130.99,52.82,44.06,66.81,84.9,48.17,72.97,334.54,264.66,403.04
635.78,145.44,175.92,179.2,70.77,45.67,79.77,107.91,82.58,84.73,387.7,319.55,398.71
637.82,204.74,194.88,249.87,106.04,69.6,98.71,133.24,139.3,120.14,461.45,402,472.57
639.86,223.06,238.52,260.55,115.51,87.74,106.86,116.1,185.56,124.76,495.67,541.24,505.85
641.9,267.3,296.39,295.81,134.41,131.64,149.44,161.73,221.25,177.8,605.24,598.81,632.09
643.94,301.45,303.83,284.64,129.41,162.97,144.11,188.12,199.7,200.6,622.5,616.05,687.62
645.98,304.5,258.84,268.7,108.17,134.06,122.88,218.94,179.91,188.16,587.45,499.62,626.12
648.02,288.35,159.02,179.22,62.59,77.4,61.95,146.4,103.23,117.63,459.63,376.74,443.8
650.06,156.16,63.16,84.63,21.16,9.56,21.51,68.05,41,39.87,261.05,176.74,250.66
652.09,64.32,0,10.17,0,0,0,3.62,0,0,137.14,80.73,79.78
654.13,25.32,4.21,2.45,0,0,0,0,0,0,90.79,11.59,25.8
656.16,31.38,4.21,58.23,0,8.13,6.1,0,14.43,1.99,115.11,59.77,29.74
658.2,31.38,13.44,59.89,8.22,8.13,6.1,0,14.43,10.51,147.32,74.16,59.53
660.23,6.07,9.23,59.89,8.22,18.77,6.1,0,14.43,10.51,147.97,97.3,59.53
662.26,7.99,31.31,21.12,11.83,10.64,1.64,0,0,8.51,171.95,152.75,62.96
664.29,7.99,57.34,37.23,3.61,10.64,5.85,1.6,0,0,187.26,216.17,123.67
666.32,54.5,87.51,97.72,12.7,0,20.64,6.13,6.63,20.88,281.99,288.01,183.21
668.34,88.1,128.65,138.94,9.09,10.15,19,7.68,6.64,36.47,261.94,304.38,276.8
670.37,88.1,93.38,118.71,9.09,10.15,14.79,6.08,6.64,36.47,214.87,223.73,186.3
672.4,41.59,63.21,58.22,0,10.15,0,1.55,0.01,15.59,81.28,120.66,126.75
