wavenumber,PS 50ppm-1,PS 50ppm-2,PS 50ppm-3,PS100ppm-1,PS 100ppm-2,PS 100ppm-3,PS 200ppm-1,PS 200ppm-2,PS 200ppm-3
1027.92,0,0,0,0,0,0,0,0,0
1029.76,0,0,0,0,0,0,0,0,0
1031.6,0,0,0,0,0,0,0,0,0
1033.44,0,0,0,0,0,0,0,0,0
1035.27,0,0,0,0,0,0,0,0,0
1037.11,0,0,0,0,0,0,0,0,0
1038.94,0,0,0,0,0,0,0,0,0
1040.77,0,0,0,0,0,0,0,0,0
1042.6,0,0,0,0,0,0,0,0,0
1044.43,0,0,0,0,0,0,0,0,0
1046.26,0,0,0,0,0,0,0,0,0
1048.09,0,0,0,0,0,0,0,0,0
1049.92,0,0,0,0,0,0,0,0,0
1051.75,0,0,0,0,0,0,0,0,0
1053.57,0,0,0,0,0,0,0,0,0
1055.4,0,0,0,0,0,0,0,0,0
1057.22,0,0,0,0,0,0,0,0,0
1059.04,0,0,0,0,0,0,0,0,0
1060.86,0,0,0,0,0,0,0,0,0
1062.68,0,0,0,0,0,0,0,0,0
1064.5,0,0,0,0,0,0,0,0,0
1066.32,0,0,0,0,0,0,0,0,0
1068.14,0,0,0,0,0,0,0,0,0
1069.96,0,0,0,0,0,0,0,0,0
1071.77,0,0,0,0,0,0,0,0,0
1073.58,0,0,0,0,0,0,0,0,0
1075.4,0,0,0,0,0,0,0,0,0
1077.21,0,0,0,0,0,0,0,0,0
1079.02,0,0,0,0,0,0,0,0,0
1080.83,0,0,0,0,0,0,0,0,0
1082.64,0,0,0,0,0,0,0,0,0
1084.45,0,0,0,0,0,0,0,0,0
1086.26,0,0,0,0,0,0,0,0,0
1088.06,0,0,0,0,0,0,0,0,0
1089.87,0,0,0,0,0,0,0,0,0
1091.67,0,0,0,0,0,0,0,0,0
1093.48,0,0,0,0,0,0,0,0,0
1095.28,0,0,0,0,0,0,0,0,0
1097.08,0,0,0,0,0,0,0,0,0
1098.88,0,0,0,0,0,0,0,0,0
1100.68,0,0,0,0,0,0,0,0,0
1102.48,0,0,0,0,0,0,0,0,0
1104.27,0,0,0,0,0,0,0,0,0
1106.07,0,0,0,0,0,0,0,0,0
1107.86,0,0,0,0,0,0,0,0,0
1109.66,0,0,0,0,0,0,0,0,0
1111.45,0,0,0,0,0,0,0,0,0
1113.24,0,0,0,0,0,0,0,0,0
1115.03,0,0,0,0,0,0,0,0,0
1116.82,0,0,0,0,0,0,0,0,0
1118.61,0,0,0,0,0,0,0,0,0
1120.4,0,0,0,0,0,0,0,0,0
1122.19,0,0,0,0,0,0,0,0,0
1123.97,0,0,0,0,0,0,0,0,0
1125.76,0,0,0,0,0,0,0,0,0
1127.54,0,0,0,0,0,0,0,0,0
1129.33,0,0,0,0,0,0,0,0,0
1131.11,0,0,0,0,0,0,0,0,0
1132.89,0,0,0,0,0,0,0,0,0
1134.67,0,0,0,0,0,0,0,0,0
1136.45,0,0,0,0,0,0,0,0,0
1138.23,0,0,0,0,0,0,0,0,0
1140,0,0,0,0,0,0,0,0,0
1141.78,0,0,0,0,0,0,0,0,0
1143.55,0,0,0,0,0,0,0,0,0
1145.33,0,0,0,0,0,0,0,0,0
1147.1,0,0,0,0,0,0,0,0,0
1148.87,0,0,0,0,0,0,0,0,0
1150.64,0,4.12,0,0,0,0,0,0,0
1152.41,0,4.12,0,0,0,0,0,0,0
1154.18,0,4.12,0,0,0,0,0,0,0
1155.95,0,0,0,0,0,0,0,0,0
1157.72,0,0,0,0,0,0,0,0,0
1159.48,0,0,0,0,0,0,0,0,0
1161.25,0,0,0,0,0,0,0,0,0
1163.01,0,0,0,0,0,0,0,0,0
1164.77,0,0,0,0,0,0,0,0,0
1166.53,0,0,0,0,0,0,0,0,0
1168.3,0,0,0,0,0,0,0,0,0
1170.06,0,0,0,0,0,0,0,0,0
1171.81,0,0,0,0,0,0,0,0,0
1173.57,0,0,0,0,0,13.03,0,0,0
1175.33,0,0,0.68,28.97,0,38.45,0,8.81,0
1177.08,17.78,53.79,35.77,79.31,110.84,92.4,0,21.89,5.42
1178.84,70.16,104.46,66.3,199.05,163.07,140.24,8.77,77.25,26.06
1180.59,103.06,166.93,114.52,283.48,209.97,161.21,29.5,124.34,93.51
1182.34,140.97,217.34,121.62,355.84,193.96,173.76,70.45,171.6,147.26
1184.1,120.1,236.63,121.94,302.11,253.2,146.56,61.68,196.72,204.19
1185.85,90,209.03,87.37,192.18,239.91,120.16,40.95,155.57,154.19
1187.6,39.23,143.09,45.18,73.29,145.08,66.78,0,114.04,122.82
1189.35,7.73,73.13,14.33,7.28,33.61,33.11,0,33.56,49.63
1191.09,4.92,38.26,0,3.79,0,13.13,0,18.82,32.18
1192.84,0,0,0,0,0,0,0,0,4.38
1194.58,0,0,0,0,0,0,0,0,0
1196.33,0,0,0,0,0,0,0,0,0
1198.07,0,0,0,0,0,0,0,0,0
1199.82,0,0,3.61,0,2.93,0,0,8.29,10.84
1201.56,0,0,26.46,0,2.93,27.94,0.46,9.51,40.54
1203.3,0,0,41.36,0,2.93,27.94,0.46,9.51,61.57
1205.04,0,0,37.75,9.58,0,34.49,0.46,15.13,59.33
1206.78,11.09,0,14.9,9.58,30.8,6.56,0,32.26,81.94
1208.51,43.39,20.59,24.04,29.01,35.14,6.56,1.84,76.29,60.92
1210.25,98.93,42.69,44.82,19.42,80.73,47.46,1.84,62.38,66.22
