wavenumber,PS_PLA 10ppm-3,PS_PLA 10ppm-2,PS_PLA 10ppm-1,PS_PLA 50ppm-1,PS_PLA 50ppm-2,PS_PLA 50ppm-3,PS_PLA 100ppm-1,PS_PLA 100ppm-2,PS_PLA 100ppm-3,PS_PLA 200ppm-1,PS_PLA 200ppm-2, PS_PLA 200ppm-3
609.13,192.08,167.85,170.88,262.77,278.01,246.23,497.77,501.82,518.5,403.99,447.35,408.01
611.18,353.91,349.21,327.93,509.77,510.78,474.93,861.5,853.94,883.36,797.01,856.61,802.46
613.24,449.24,508.85,453.22,690.23,715.69,644.18,1107.99,1112.15,1141.65,1151.44,1218.61,1116.65
615.29,515.93,537.51,505.87,769.04,770.28,734.44,1204.78,1239.33,1239.9,1272.51,1387.58,1274.48
617.35,490.65,493.21,493.22,768.21,735.89,745.39,1178.88,1240.48,1192.81,1331.89,1458.18,1318.62
619.4,426.18,383.04,408.71,681.85,630.64,669.15,1089.08,1150.73,1095.48,1249.69,1364.53,1232.84
621.45,320.85,286.69,306.02,565.63,540.2,554.7,896.05,950.08,901.25,1092.25,1134.63,1047.49
623.5,204,186.15,180.13,359.54,385.89,342.4,594.11,649.19,624.45,763.9,788.16,708.9
625.55,101.81,98.8,91.79,185.38,212.84,166.6,302.05,350.84,308.2,438.09,408.88,396.85
627.6,22.7,36.52,18.51,88.35,69.93,46.69,122.44,153.6,97.06,221.05,220.71,182.23
629.64,36.5,28.98,3.3,95.25,55.61,57.36,142.04,138.91,104.14,179.89,206.41,180.82
631.69,94.82,86.44,83.07,195.41,179.88,148.04,266.19,261.77,256.45,309.61,419.32,320.64
633.73,144.6,155.02,172.62,279.94,279.86,234.01,392.36,419.97,427.42,496.66,591.22,461.11
635.78,193.86,210.61,248.2,371.95,381.66,347.46,507.63,553.28,563.52,698.5,742.23,606.03
637.82,298.5,341.91,328.83,512.67,480.83,499.61,707.59,743.27,762.62,916.33,942.57,816.29
639.86,419.62,474.37,451.28,644.54,635.82,678.25,962,986.04,982.85,1144.62,1207.36,1073.66
641.9,545.35,578.43,594.67,773.35,744.74,798.5,1152.97,1200.72,1146.98,1340.8,1444.7,1261.93
643.94,546.13,543.54,609.11,745.54,746.05,758.11,1133.97,1172.74,1119.13,1387.66,1425.39,1234.21
645.98,463.51,418.93,484.49,591.33,563.95,590.34,865.87,907.01,840.86,1114.42,1164.64,952.39
648.02,255.02,230.29,262.22,322.59,306.93,318.62,469.32,479.53,457.02,631.3,656.46,517.98
650.06,91.28,76.42,87.39,104.14,81.16,116.17,146.24,159.52,129.95,196.26,257.35,166.95
652.09,0,0,0,0,0,0,0,0,0,0,3.41,0
654.13,0,0,0,0,0,0,0,0,0,0,0,0
656.16,0,0,0,0,0,0,0,0,0,0,0,0
658.2,0,0,0,0,0,0,0,0,0,0,0,0
660.23,0,0,0,0,0,0,0,0,0,0,0,0
662.26,0,0,0,0,0,0,0,0,0,0,0,0
664.29,58.08,69.93,38.88,42.49,41.55,53.47,86.82,51.15,71.36,100.65,140.06,125.92
666.32,178.98,157.02,133.25,165.6,154.75,177.25,234.67,221.33,214.79,326.71,362.45,324.26
668.34,224.91,203.47,194.32,228.54,183.84,210.56,282.73,288.07,282.5,416.36,494.03,421.56
670.37,166.83,133.54,155.44,186.06,142.29,157.09,195.91,236.92,211.15,315.7,353.97,295.64
672.4,45.93,46.46,61.07,62.94,29.08,33.31,48.07,66.74,67.71,89.65,131.58,97.3
674.42,8.47,13.03,13.64,0,0,0,0,0,0,0,20.91,13.6
676.45,64.36,77.15,46.71,40.46,51.1,56.61,49.77,44.12,60.98,82.84,135.03,144.52
678.47,73.21,77.15,46.71,40.46,55,56.61,49.77,44.12,60.98,82.84,179.58,144.52
680.49,64.74,64.12,33.07,40.46,55,56.61,49.77,44.12,60.98,82.84,158.67,130.92
682.51,8.85,0,22.82,7.95,3.91,0,0,0,0,5.5,63.42,5.66
684.53,112.64,134.59,144.35,128.4,123.59,126.7,137.2,153.22,159.98,180.89,230.24,171.23
686.55,225.31,214.87,259.58,227.35,228.05,240.59,265.92,295.63,300.2,376.83,458.39,341.03
