wavenumber,PLA1ppm-1,PLA1ppm-2,PLA1ppm-3,PLA5ppm-1,PLA5ppm-2,PLA5ppm-3,PLA10ppm-1,PLA10ppm-2,PLA10ppm-3,PLA50ppm-1,PLA50ppm-2,PLA50ppm-3,PLA100ppm-1,PLA100ppm-2,PLA100ppm-3,PLA200ppm-1,PLA200ppm-2,PLA200ppm-3,PLA300ppm-1,PLA300ppm-2,PLA300ppm-3,PLA400ppm-1,PLA400ppm-2,PLA400ppm-3,PLA500ppm-1,PLA500ppm-2,PLA500ppm-3,PLA600ppm-1,PLA600ppm-2,PLA600ppm-3
623.5,4.07,20.01,14.36,0,0.68,34.17,5.83,31.77,0,12.22,35.53,33.83,0,0,0,6.87,26.81,31.08,52.43,43.86,43.74,13.58,9.6,32.7,1.44,0.35,3.18,43.94,26.04,23.35
625.55,4.74,11.76,7.89,9.3,18.24,34.17,4.31,19.13,0,24.15,27.47,25.11,0,0,0,0,26.54,12.62,28.89,29.26,18.05,16.9,9.6,24.33,1.44,2.67,3.18,30.58,21.46,7.12
627.6,0.67,0,13.93,9.96,17.56,0,12.18,0,0,20.28,0,0,0,0,0,0,13.04,0,5.42,3.16,0,16,2.44,0,16.63,20.07,23.02,48.6,20.55,11.25
629.64,7.24,0,8.01,13.53,17.56,11.26,21.54,0,0,20.54,11.94,0,0,0,0,2.26,7.22,12.38,11.43,18.92,19.72,27.24,20.15,4.39,50.58,56.44,49.29,71.52,25.01,36.6
631.69,13.58,0,20.75,6.93,0,41.94,21.54,0.07,13,8.61,22.22,13.26,0,0,0,17.84,22.8,15.38,32.23,28.18,25.64,55.27,28.66,12.25,65.39,82.64,69.55,125.72,51.57,52.21
633.73,57.25,45.21,39.5,39.64,27.51,73.59,25.4,17.12,28.05,16.06,53.38,37.07,4.72,0,3.88,26.6,41.94,44.52,71,65.97,57.97,63.93,37.4,37.77,107.62,102.07,53.29,136.45,93.68,75.69
635.78,71.44,53.55,65.06,40.23,53.76,77.74,33.78,35.91,38.6,7.46,71.92,57.86,4.72,0,3.88,24.34,42.29,39.64,83.74,71.06,83.52,58.89,27.11,41.45,95.75,100.07,39.94,137.08,123.7,69.06
637.82,137.06,127.78,96.78,93.59,95.21,93.99,63.66,75.46,59.74,76.6,112.86,102.48,39.19,22,21.3,48.62,59.37,79.14,136.22,131.22,153.49,61.93,49.24,54.54,135.89,124.75,67.26,168.73,142.73,133.44
639.86,120.32,121.14,104.14,83.27,110.12,115.23,89.4,83.3,59.18,103.46,107.77,116.73,62.63,31.36,27.25,58.07,76.61,92.47,144.56,158.58,206.31,96.49,58.88,74.49,110.49,120.55,105.05,157.18,163.22,176.6
641.9,136.33,156.25,113.92,131.04,133.79,159.23,106.22,97.56,106.69,149.47,116.75,147.06,84.24,65.87,44.26,81.07,92.59,142.2,189.64,192.35,224.88,122.46,81.28,91.86,112.78,106.37,112.18,178.97,164.72,181.77
643.94,123.88,136.24,116.58,121.03,92.34,177.11,111.88,88.33,125.39,128.58,96.92,136.24,82.15,67.5,44.69,73.64,83.95,135.98,140.48,167.19,206.53,112.51,87.75,104.97,90.42,53.17,87.33,132.79,161.57,138.29
645.98,128.3,134.43,121.1,119.22,62.76,155.19,88.73,89.61,112.93,135.88,89.27,104.28,66.92,63.64,34.85,58.73,51.16,106.6,101.5,131.9,144.71,88.76,73.75,79.61,56.97,28.13,51.94,105.74,116.54,63.39
648.02,95.7,101.93,93.6,67.29,21.16,95.78,54.17,56.58,54.88,89.87,49.81,53.16,45.31,29.14,17.84,44.88,27.61,64.94,37.67,77.27,80.86,56.58,43.94,54.17,32.59,7.95,28.71,47.69,80.57,36.51
650.06,35.53,48.41,47.76,21.25,21.16,30.98,18.63,26.18,2.04,41.61,18.42,6.1,12.92,5.51,0,12.45,3.59,28.66,13.21,33.01,23.33,32.14,12.1,20.11,0,7.95,5.98,8.02,26.3,0
652.09,4.18,11.65,9.11,0,8.33,3.24,0,0,0,0,0,0,0,0,0,9.15,0,15.57,0,0,0,0,5.26,0,0,0,0,0,0,0
654.13,0,0.7,1.26,0,0,3.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0
656.16,0.21,0,0,0,0,7.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0
658.2,0.21,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0
660.23,0.21,0,0,1.15,0,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0
