wavenumber,PMMA 10ppm-1,PMMA 10ppm-2,PMMA 10ppm-3,PMMA 50ppm-1,PMMA 50ppm-2,PMMA 50ppm-3,PMMA 100ppm-1,PMMA 100ppm-2,PMMA 100ppm-3,PMMA 200ppm-1,PMMA 200ppm-2,PMMA 200ppm-3
619.4,94.98,62.71,57.44,143.63,60.63,66.6,225.27,183.15,178.71,305.49,289.2,209.95
621.45,92.97,57.61,44.88,125.09,58.61,49.7,187.04,153.84,141.77,259.3,241.06,213.15
623.5,71.38,52.93,69.4,59.3,43.35,22.36,144.19,67.58,120.2,184.32,165.44,178.86
625.55,88.32,39.4,71.44,60.72,50.74,2.14,82.07,47.8,67.79,135.64,141.45,106.05
627.6,109.56,94.56,104.12,81.46,75.65,16.82,53.66,12.21,41.98,131.39,108.87,106.76
629.64,158.12,112.68,104.78,124.2,111.21,30.68,57.85,59.31,38.44,133.24,103.69,87.21
631.69,170.65,189.15,114.07,110.23,141.4,82.91,101.42,79.34,63.5,201.5,122.26,162.17
633.73,183.38,181.11,135.22,138.13,146.47,131.74,165.05,152.63,124.38,244.07,194.45,184.29
635.78,184.64,168.93,157.22,184.9,154.39,168.76,197.83,165.31,185.41,305.29,198.27,230.35
637.82,197.21,171.39,230.87,270.66,210.96,219.42,279.89,244.59,277.38,329.93,275.16,272.47
639.86,207.64,193.05,236.38,264.27,275.73,249.61,298.78,283.37,305.17,362.21,313.01,332.54
641.9,259.05,270.01,278.19,292.87,309.47,309.77,342.61,349.74,338.55,417.25,421.59,405
643.94,277.99,280.5,259.87,307.67,267.74,278.12,333.59,374.94,334.43,432.26,456.14,433.74
645.98,252.13,255.19,262.4,292,235.55,243.67,296.41,331.29,321.13,345.58,402.98,410.43
648.02,199.81,171.41,220.46,206.2,203.21,169.74,209.38,221.47,222.64,248.54,283.78,296.73
650.06,154.57,127.71,196.94,121.49,179.63,103.23,101.73,86.34,95.79,142.37,120.09,152.19
652.09,127.86,121.21,133.95,85.65,111.24,72.91,28.8,17.93,9.99,87.28,36.81,36.27
654.13,110.36,115.23,102.82,53.35,54.05,54.12,8.96,0,0,36.14,0.32,1.29
656.16,99.94,122.68,81.44,71.79,68.61,49.38,0,14.92,0,0,0,0
658.2,76.61,68.91,77.47,49.65,70.59,22.09,11.88,19.66,0,0,0,25.03
660.23,36.79,57.98,69.04,49.65,73.43,3.77,11.88,19.66,0,0,0,25.03
662.26,5.26,21.79,78.69,0,43.69,14.78,17.53,4.74,0,0,0,25.03
664.29,20.2,60.23,88.65,0,24.55,13.06,5.65,2.48,8.2,0,0,0
666.32,24.15,91.33,112.58,21.49,18.76,25.86,39.92,59.73,44.82,73.86,31.44,29.86
