wavenumber,PLA 100ppm-1,PLA 100ppm-2,PLA 100ppm-3,PLA 200ppm-1,PLA 200ppm-2,PLA 200ppm-3
799.94,209.94,107.96,138.77,263.08,225.41,233.23
801.9,184.69,138.68,141.64,281.72,228.65,222.16
803.86,192.34,193.31,194.08,315.65,328.18,255.73
805.82,171.56,187.84,176.09,340.23,340.01,295.92
807.78,163.35,190.6,198,351.77,336.13,320.73
809.73,164.82,190.71,142.59,329.05,278.67,291.95
811.69,151.08,192.94,132.64,284.52,262.72,263.35
813.64,143.8,205.97,131.81,264.85,266.28,236.26
815.6,130.09,184.9,172.54,272.82,249.81,238.47
817.55,141.06,184.51,203.96,310.52,283.41,281.74
819.5,201.38,220.81,258.39,334.3,305.75,332.75
821.45,279.5,284.89,289.94,353.27,364.61,358.27
823.4,309.85,317.88,302.4,372.54,337.76,355.09
825.35,300.54,297.22,278.87,372.21,350.98,333.97
827.29,277.93,283.24,268.69,372.63,362.61,345.26
829.24,279.54,277.17,259.41,370.02,365.53,308.83
831.18,306.51,302.78,280.47,349.81,355.86,306.47
833.13,313.83,324.07,308.56,341.34,317.92,260.52
835.07,328.5,336.38,319.65,319.94,314.05,283.96
837.01,323.07,341.26,311.65,343.18,303.81,317.7
838.95,308.33,308.82,275.33,314.16,302.97,331.83
840.89,300.16,287.95,256.92,294.09,305.42,319.92
842.83,285.11,250.22,240.97,272.22,288.39,270.86
844.77,259.2,256.94,246.47,306.52,321.21,304.64
846.71,257.08,267.13,263.44,327.01,324.2,330.26
848.64,257.09,298.45,269.53,364.69,352.71,362.06
850.58,319.56,309.23,268.08,371.54,331.4,365.37
852.51,352.61,324.92,289.88,412.03,378.04,346.97
854.44,386.34,295.29,301.02,427.92,418.42,379.64
856.37,385.97,293.57,310.4,451.43,421.09,392.26
858.31,343.74,288.97,292.24,439.46,398.6,440.05
860.23,347.86,323.4,316.43,420.9,402.52,433.25
862.16,335.55,328.73,372.53,423.96,420.06,453.06
864.09,393.15,349.98,402.53,441.64,448.22,459.49
866.02,387.1,344.24,381.55,436.06,435.78,464.33
867.94,397.97,355.41,344.81,443.78,485.96,472.11
869.87,373.62,336.04,338.2,445,471.65,453.4
871.79,340.52,308.92,329.16,429.85,446.96,444.98
873.71,295.11,286.15,302.47,409.77,419.01,406.62
875.64,249.71,259.4,284.81,344.43,391.12,390
877.56,261.12,262.11,268.6,334.93,392.41,379.54
879.48,223.21,235.51,218.08,259.83,320.43,340.15
881.39,198.2,205.49,147.46,214.02,252.4,303.38
