wavenumber,PS_PMMA-50ppm-3,PS_PMMA-50ppm-2,PS_PMMA-50ppm-1,PS_PMMA-100ppm-1,PS_PMMA-100ppm-2,PS_PMMA-100ppm-3,PS_PMMA-200ppm-1,PS_PMMA-200ppm-2,PS_PMMA-200ppm-3
1380.43,139.34,147.89,114.14,279.71,304.2,252.03,555.61,605.75,612.39
1382.07,113.92,120.09,79.93,268.61,251.38,231.87,541.13,575.93,576.5
1383.7,93.66,97.46,91.22,257.76,221.46,239.94,559.99,585.79,540.93
1385.33,122.35,115.1,103.44,312.58,228.22,261.68,620.3,579.09,525.47
1386.96,111.98,137.35,121.95,338.09,262.32,300.77,622.05,550.84,554.45
1388.59,136.45,183.11,151.62,359.49,289.99,345.75,664.15,544.93,597.1
1390.22,124.74,180.03,130.78,348.47,279.89,339.64,632.58,580.01,649.09
1391.85,126.87,174.44,134.11,348.69,271.36,331.08,620.02,599.1,631.4
1393.47,144.39,166.58,153.83,323.7,286.95,326.32,620.36,638.75,631.6
1395.1,145.86,151.67,160.15,308.06,295.55,320.89,614.82,584.18,618.92
1396.72,160.71,151.14,140.53,292.21,321.6,297.59,590.17,570.83,628.78
1398.35,141.72,141.11,113.74,299.93,273.23,262.18,563.53,550.49,611.32
1399.97,160.46,123.13,116,274.1,266.31,232.56,520.45,524.71,574.74
1401.59,149.81,104.76,125.54,220.3,232.4,225.29,523.82,511.71,519.94
1403.21,178.43,84.01,122.35,219.84,249.5,201.68,442.65,459.49,511.26
1404.83,126.78,86.64,118.88,178.84,242.39,213.53,448.71,465.5,502.13
1406.45,135.95,73.43,116.58,201.07,212.84,215.28,436.11,461.51,550.67
1408.07,123.07,84.5,94.88,212.32,197.64,187.37,512.96,479.97,546.32
1409.68,150.25,99.96,79.9,255.7,210.56,188.91,521.72,494,544.19
1411.3,148.47,109.47,61.64,268.2,254.27,183.57,520.03,513.58,529.62
1412.91,126.87,94.14,66.54,250.94,244.21,220.46,521.36,511.17,489.38
1414.53,126.64,75.2,80.16,242.46,236.94,216.8,553.25,507.66,531.37
1416.14,114.36,79.21,85.39,257.34,208.68,209.82,610.93,493.26,533.81
1417.75,126.03,81.82,91.89,277.23,227.09,211.84,580.39,486.65,551.36
1419.36,123.97,99.71,77,286.13,231.85,201.54,563.98,481.48,517.35
1420.97,127.4,112.09,90.61,294.27,234.84,176.8,514.24,481.32,484.02
1422.58,134.22,131.53,90.6,296.53,258.61,220.85,542.4,514.39,531.24
1424.19,135.32,127.57,134.52,306.13,258.07,235.24,565.35,520.92,540.24
1425.79,128.02,128.89,133.06,292.09,273.2,273.96,572.43,549.22,567.35
1427.4,121.56,159.04,136.42,289.27,295.55,266.92,566.51,565.87,564.13
1429,111.7,168.13,122.73,285.47,315.92,284.55,527.04,562.96,591.69
1430.61,145.79,160.49,154.3,308.35,343.3,324.85,567.04,576.18,608.04
1432.21,154.14,139.79,150.15,316.91,325.02,330.49,586.48,588.17,616.16
1433.81,175.33,143.26,163.49,351.03,334.63,352.69,637.94,612.84,606.95
1435.41,160.57,163.78,155.89,363.95,326.03,351.34,607.96,580.41,596.96
1437.01,163.08,164.9,187.22,367.87,369.11,360,646.43,568.09,596.09
1438.61,162.09,165.52,193.71,371.03,358.08,385.88,661.59,579.12,600.89
1440.2,162.71,180.08,204.48,408.86,373.06,347.77,694.86,637.26,630.46
1441.8,180.15,203.8,208.07,430.6,383.27,388.22,712.14,645.4,652.7
1443.4,202.64,222.24,226.38,458.46,443.92,393.12,702.66,652.11,676.17
1444.99,211.3,215.5,219.51,480.21,485.48,453.58,698.52,689.49,705.97
1446.58,209.34,209.82,213.36,551.09,502.82,487.49,657.28,749.43,703
1448.18,217.21,198.3,212.04,555.86,508.72,487.96,664.04,790.38,708.36
1449.77,248.02,214.05,216.32,540.65,530.29,529.76,694.26,737.11,705.83
1451.36,243.43,206.74,225.2,505.11,528.54,522.9,723.27,717.62,723.08
1452.95,252.78,248.03,226.02,526.91,556.45,545.71,759.07,712.91,734.77
1454.53,215.07,218.93,215.45,504.06,533.04,498.19,777.98,713.99,719.24
1456.12,219.52,237.32,211.03,486.76,512.19,468.23,730.57,674.41,723.72
1457.71,179.69,198.43,181.99,451.59,473.12,446.72,684.39,638.05,706.41
1459.29,200.8,204.47,192.9,420.76,456.06,438.2,665.33,651.81,716.22
1460.88,209.51,168.79,185.07,436.94,467,438.69,703.72,665.68,686.13
1462.46,214.82,188.04,199.17,413.45,458.28,424.85,712.23,698.34,709.83
1464.04,209.18,208.68,199.66,456.09,457.67,448.12,671.97,688.22,707.41
1465.62,211.48,224.91,211.75,417.06,451.06,437.72,669.16,700.55,742.1
1467.21,226.05,206.42,213.44,420.38,436.46,441.99,652.14,637.66,713.56
1468.78,230.44,176.76,205.29,432.59,424.42,399.82,654.45,646.1,698.02
1470.36,209.67,182.58,197.29,416.02,410.26,381.87,631.44,606.55,647.15
1471.94,185.82,176.34,207.24,416.8,392.78,365.58,615.88,609.44,631.06
1473.52,166.69,174.82,212.89,384.35,362.74,365.41,603.55,555.23,573.18
1475.09,126.5,139.56,186.14,385.25,313.7,344.23,517.33,534.46,519.74
1476.67,125.02,131.69,169.11,367.93,278.44,316.5,537.01,507.24,455.86
1478.24,103.37,126.3,145.9,321.5,292.4,294.99,499.02,498.03,466.63
1479.81,112.31,139.85,160.62,286.74,329.7,268.81,548.48,495.6,494.52
1481.38,99.42,153.56,150.17,250.87,328.88,264.18,484.28,503.16,489.39
1482.95,135.01,151.42,159.2,276.23,310.96,269.1,496.42,497.39,495.27
1484.52,149.99,136.33,146.28,293.7,267.47,286.14,474.45,466.18,452.36
1486.09,179.12,121.4,151.18,328.73,284.88,288.05,513.15,456.96,505.11
1487.66,154.19,96.06,136.02,301.09,269.61,289.97,522.29,456.85,488.29
1489.22,146.41,108.22,99,271.68,267.57,291.77,511.77,468.74,499.14
1490.79,131.9,100.98,76.59,215.6,227.52,296.89,452.02,427.41,431.42
1492.35,111.98,119.33,64.44,156.85,206.47,265.68,359.06,357.18,372.47
1493.92,124.67,110.62,80.9,157.11,213.08,213.46,329.54,352.73,347.63
1495.48,123.3,95.18,85.61,180.03,207.69,167.57,312.46,373.38,356.55
1497.04,110.96,115.78,98.37,222.39,207.74,175.12,347.94,428.59,369.02
1498.6,86.78,100.2,100.28,214.97,153.01,178.55,355.08,408.79,361.81
1500.16,53.98,103.99,84.9,163.33,148.38,144.42,363.78,370.54,295.82
1501.72,77.11,72.39,79.46,147.69,133.75,123.28,342.58,314.72,318.25
1503.27,71.28,86.83,63.05,143.83,162.22,93.58,295.27,281.12,298.57
1504.83,86.5,71.64,79.35,184.07,178.8,154.64,274.51,276.4,322.76
1506.38,93.65,102.72,105.58,189.3,192.7,158.03,283.52,296.79,333.04
1507.94,100.39,104.39,126.41,172.87,175.93,206.75,287.31,323.28,337.76
1509.49,116.07,128,144.83,156.43,162.15,186.12,315.54,351.2,333.91
1511.04,128.01,114.54,138.52,152.66,153.03,189.48,299.53,360.22,302.15
1512.6,151.77,127.89,155.36,172.1,186.13,165.39,341.19,359.57,350.71
1514.15,148.01,132.74,124.68,187.09,193.1,183.5,336.5,349.57,387.26
1515.69,129.41,138.06,115.82,183.63,210.62,194.5,352.48,332.22,361.12
1517.24,129.29,150.88,116.78,196.05,193.69,221.7,363.11,336.2,332.29
1518.79,136,139.51,139.22,216.35,203.3,217.45,388.06,353.16,316.45
1520.34,144.52,142.95,128.81,229.87,192.45,214.41,390,352.44,325.59
1521.88,156.41,139.44,154.44,227.82,205.04,213.13,350.82,339.6,355.6
1523.42,139.56,153.19,123.66,184.76,205.95,218.83,293.74,306.18,351.03
1524.97,139.53,143.09,125.7,172.25,193.06,194.08,292.65,302.08,346.77
1526.51,116.43,141.58,125.33,151.07,171.5,189.98,291.99,283.07,298.6
1528.05,131.48,152.56,145.11,171.42,171.15,181.75,314.97,281.72,292.08
1529.59,137.68,175.35,153.71,150.32,189,214.39,328.62,283.34,289.87
