wavenumber,PE 5ppm-1,PE 5ppm-2,PE 5ppm-3,PE 10ppm-3,PE 10ppm-2,PE 10ppm-1,PE 50ppm-1,PE 50ppm-2,PE 50ppm-3,PE 100ppm-1,PE 100ppm-2,PE 100ppm-3,PE 200ppm-1,PE 200ppm-2,PE 200ppm-3
1335.95,0,0,0,15.62,15.62,12.86,319.11,318.31,220.77,792.54,987.44,892.86,483.9,360.89,196.28
1337.61,0,0,0,15.62,15.62,7.04,270.5,247.97,196.97,711.89,870.19,809.84,428.35,306.66,112.79
1339.27,0,0,0,0,0,0,246.95,211.36,170.23,623.37,760.08,678.64,367.62,233.27,36.8
1340.92,0,0,0,0,0,0,257.12,195.82,185.88,556.97,655.79,622.92,354.05,216.37,53.64
1342.58,0,0,0,0,0,0,274.03,232.67,185.26,513.7,617.65,560.02,368.97,175.97,83.66
1344.24,0,0,0,2.37,2.37,0,312.12,274.03,205.82,475.34,603.44,560.05,396.17,182.18,113.28
1345.89,0,0,0,9.22,9.22,5.07,331.37,291.9,197.55,462.88,566.82,464.01,449.3,219,124.51
1347.55,0,0,0,9.22,9.22,5.07,343.36,294.49,213.67,418.88,535.69,416.45,423.26,205.98,107.91
1349.2,0,0,0,6.85,6.85,5.07,284.96,283.7,211.42,332.23,488.59,339.27,411.59,158.01,89.69
1350.86,0,0,0,0,0,0,271.74,268.76,230.33,248.15,428.75,303.68,323.87,88.32,56.09
1352.51,0,0,0,0,0,0,245.47,244.76,201.86,210.42,370.95,237.47,258.19,57.34,33.1
1354.16,0,0,0,0,0,0,228.48,201.04,175.01,212.37,308.53,186.62,138.55,29.73,17.79
1355.81,0,0,0,0,0,0,180.22,195.39,128.55,194.44,273.25,123.93,62.32,4.9,0
1357.46,0,0,0,0,0,0,160.03,188.47,101.16,184.65,185.12,71.38,15.16,0,0
1359.1,0,0,0,0,0,0,117.89,157.27,63.49,111.31,136.13,52.99,0,0,0
1360.75,0,0,0,0,0,0,104.93,99.91,27.26,56.14,74.74,36.8,0,0,0
1362.4,0,0,0,0,0,0,41.8,39.27,1.21,1.39,52.72,21.82,0,0,0
1364.04,0,0,0,0,0,0,46.63,33.7,13.84,0,9.93,0,0,0,0
1365.68,0,0,0,0,0,0,14.4,30.08,35.15,10.89,0,0,0,0,0
1367.33,0,0,0,0,0,0,48.68,34.75,38.28,14.85,0,0,0,0,0
1368.97,0,0,0,0,0,0,65.91,42.58,24.44,21.8,0,0,0,0,0
1370.61,0,0,0,0,0,0,98.87,85.14,23.19,10.91,0,0,0,0,0
1372.25,0,0,0,0,0,0,121.22,136.09,41.01,11.24,9.62,0,0,0,0
1373.89,0,0,0,6.67,6.67,0,119.85,153.32,53.97,4.29,9.62,0,0,0,0
1375.53,0,0,0,6.67,6.67,0,111.54,119.28,59.79,4.29,9.62,0,0,0,0
1377.16,0,0,0,17.43,17.43,0,107.18,98.18,54.55,0,0,0,0,0,0
1378.8,0,0,0,10.75,10.75,0,84.21,60.39,41.59,0,0,0,0,0,0
1380.43,0,0,0,10.75,10.75,0,59.57,34.52,15.71,0,0,0,0,0,0
1382.07,0,0,0,0,0,0,7.13,0,0,0,0,0,0,0,0
1383.7,0,0,0,0,0,0,15.01,0,0,0,0,0,0,0,0
1385.33,0,0,0,0,0,0,15.01,0,0,0,0,0,0,0,0
1386.96,0,0,0,0,0,0,15.01,12.86,0,0,0,0,0,0,0
